N,E,Z
5.25,0.5,10.02
5.25,0.75,10.02
5.25,1,10.02
5.25,1.25,10.02
5.25,1.5,10.01
5.25,1.75,10.01
5.25,2,10.01
5.25,2.25,10.01
5.25,2.5,10.01
5.25,2.75,10.01
5.25,3,10.01
5.25,3.25,10
5.25,3.5,10
5.25,3.75,10
5.25,4,10
5.25,4.25,10
5.25,4.5,10
5.25,4.75,9.99
5.25,5,9.99
5.25,5.25,9.99
5.25,5.5,9.99
5.25,5.75,9.99
5.25,6,9.99
5.25,6.25,9.99
5.25,6.5,9.99
5.25,6.75,9.98
5.25,7,9.98
5.25,7.25,9.98
5.25,7.5,9.98
5.25,7.75,9.98
5.25,8,9.98
5.25,8.25,9.98
5.25,8.5,9.98
5.25,8.75,9.98
5.25,9,9.97
5.25,9.25,9.97
5.25,9.5,9.97
5.25,9.75,9.97
5.25,10,9.97
5.25,10.25,9.97
5.25,10.5,9.97
5.25,10.75,9.97
5.25,11,9.97
5.25,11.25,9.97
5.25,11.5,9.97
5.25,11.75,9.97
5.25,12,9.97
5.25,12.25,9.97
5.25,12.5,9.96
5.25,12.75,9.96
5.25,13,9.96
5.25,13.25,9.96
5.25,13.5,9.96
5.25,13.75,9.96
5.25,14,9.96
5.25,14.25,9.96
5.25,14.5,9.95
5.25,14.75,9.95
5.25,15,9.95
5.25,15.25,9.94
5.25,15.5,9.94
5.25,15.75,9.94
5.25,16,9.93
5.25,16.25,9.93
5.25,16.5,9.92
5.25,16.75,9.92
5.25,17,9.91
5.25,17.25,9.91
5.25,17.5,9.9
5.25,17.75,9.9
5.25,18,9.89
5.25,18.25,9.89
5.25,18.5,9.88
5.25,18.75,9.88
5.25,19,9.87
5.25,19.25,9.87
5.25,19.5,9.86
5.25,19.75,9.86
5.25,20,9.85
5.25,20.25,9.85
5.25,20.5,9.84
5.25,20.75,9.84
5.25,21,9.83
5.25,21.25,9.83
5.25,21.5,9.82
5.25,21.75,9.82
5.25,22,9.81
5.25,22.25,9.81
5.25,22.5,9.8
5.25,22.75,9.79
5.25,23,9.79
5.25,23.25,9.78
5.25,23.5,9.78
5.25,23.75,9.77
5.25,24,9.77
5.25,24.25,9.76
5.25,24.5,9.75
5.25,24.75,9.75
5.25,25,9.74
5.25,25.25,9.73
5.25,25.5,9.73
5.25,25.75,9.72
5.25,26,9.72
5.25,26.25,9.71
5.25,26.5,9.7
5.25,26.75,9.7
5.25,27,9.69
5.25,27.25,9.68
5.25,27.5,9.68
5.25,27.75,9.67
5.25,28,9.66
5.25,28.25,9.66
5.25,28.5,9.65
5.25,28.75,9.65
5.25,29,9.64
5.25,29.25,9.63
5.25,29.5,9.63
5.25,29.75,9.62
5.25,30,9.61
5.25,30.25,9.61
5.25,30.5,9.6
5.25,30.75,9.59
5.25,31,9.59
5.25,31.25,9.58
5.25,31.5,9.57
5.25,31.75,9.56
5.25,32,9.56
5.25,32.25,9.55
5.25,32.5,9.54
5.25,32.75,9.54
5.25,33,9.53
5.25,33.25,9.52
5.25,33.5,9.52
5.25,33.75,9.51
5.25,34,9.5
5.25,34.25,9.5
5.25,34.5,9.49
5.25,34.75,9.48
5.25,35,9.48
5.25,35.25,9.47
5.25,35.5,9.46
5.25,35.75,9.45
5.25,36,9.45
5.25,36.25,9.44
5.25,36.5,9.43
5.25,36.75,9.43
5.25,37,9.42
5.25,37.25,9.41
5.25,37.5,9.41
5.25,37.75,9.4
5.25,38,9.39
5.25,38.25,9.39
5.25,38.5,9.38
5.25,38.75,9.37
5.25,39,9.37
5.25,39.25,9.36
5.25,39.5,9.35
5.25,39.75,9.35
5.25,40,9.34
5.25,40.25,9.33
5.25,40.5,9.33
5.25,40.75,9.32
5.25,41,9.32
5.25,41.25,9.31
5.25,41.5,9.31
5.25,41.75,9.3
5.25,42,9.29
5.25,42.25,9.29
5.25,42.5,9.28
5.25,42.75,9.28
5.25,43,9.27
5.25,43.25,9.27
5.25,43.5,9.26
5.25,43.75,9.26
5.25,44,9.25
5.25,44.25,9.25
5.25,44.5,9.24
5.25,44.75,9.24
5.25,45,9.23
5.25,45.25,9.23
5.25,45.5,9.23
5.25,45.75,9.22
5.25,46,9.22
5.25,46.25,9.21
5.25,46.5,9.21
5.25,46.75,9.2
5.25,47,9.2
5.25,47.25,9.2
5.25,47.5,9.19
5.25,47.75,9.19
5.25,48,9.18
5.25,48.25,9.18
5.25,48.5,9.18
5.25,48.75,9.17
5.25,49,9.17
5.25,49.25,9.17
5.25,49.5,9.16
5.25,49.75,9.16
5.25,50,9.16
5.25,50.25,9.16
