N,E,Z
13.5,-1,10.05
13.5,-0.75,10.04
13.5,-0.5,10.04
13.5,-0.25,10.04
13.5,0,10.04
13.5,0.25,10.04
13.5,0.5,10.04
13.5,0.75,10.03
13.5,1,10.03
13.5,1.25,10.03
13.5,1.5,10.03
13.5,1.75,10.03
13.5,2,10.03
13.5,2.25,10.03
13.5,2.5,10.03
13.5,2.75,10.03
13.5,3,10.03
13.5,3.25,10.02
13.5,3.5,10.02
13.5,3.75,10.02
13.5,4,10.02
13.5,4.25,10.02
13.5,4.5,10.02
13.5,4.75,10.02
13.5,5,10.02
13.5,5.25,10.02
13.5,5.5,10.02
13.5,5.75,10.02
13.5,6,10.02
13.5,6.25,10.02
13.5,6.5,10.02
13.5,6.75,10.02
13.5,7,10.02
13.5,7.25,10.01
13.5,7.5,10.01
13.5,7.75,10.01
13.5,8,10.01
13.5,8.25,10.01
13.5,8.5,10.01
13.5,8.75,10
13.5,9,10
13.5,9.25,10
13.5,9.5,9.99
13.5,9.75,9.99
13.5,10,9.99
13.5,10.25,9.99
13.5,10.5,9.98
13.5,10.75,9.98
13.5,11,9.98
13.5,11.25,9.97
13.5,11.5,9.97
13.5,11.75,9.97
13.5,12,9.97
13.5,12.25,9.96
13.5,12.5,9.96
13.5,12.75,9.96
13.5,13,9.96
13.5,13.25,9.95
13.5,13.5,9.95
13.5,13.75,9.95
13.5,14,9.95
13.5,14.25,9.95
13.5,14.5,9.94
13.5,14.75,9.94
13.5,15,9.94
13.5,15.25,9.94
13.5,15.5,9.94
13.5,15.75,9.93
13.5,16,9.93
13.5,16.25,9.93
13.5,16.5,9.93
13.5,16.75,9.92
13.5,17,9.92
13.5,17.25,9.92
13.5,17.5,9.92
13.5,17.75,9.92
13.5,18,9.91
13.5,18.25,9.91
13.5,18.5,9.91
13.5,18.75,9.9
13.5,19,9.9
13.5,19.25,9.89
13.5,19.5,9.89
13.5,19.75,9.88
13.5,20,9.88
13.5,20.25,9.87
13.5,20.5,9.87
13.5,20.75,9.86
13.5,21,9.85
13.5,21.25,9.85
13.5,21.5,9.84
13.5,21.75,9.83
13.5,22,9.83
13.5,22.25,9.82
13.5,22.5,9.82
13.5,22.75,9.81
13.5,23,9.8
13.5,23.25,9.8
13.5,23.5,9.79
13.5,23.75,9.79
13.5,24,9.78
13.5,24.25,9.77
13.5,24.5,9.77
13.5,24.75,9.76
13.5,25,9.75
13.5,25.25,9.75
13.5,25.5,9.74
13.5,25.75,9.74
13.5,26,9.73
13.5,26.25,9.72
13.5,26.5,9.72
13.5,26.75,9.71
13.5,27,9.71
13.5,27.25,9.7
13.5,27.5,9.69
13.5,27.75,9.69
13.5,28,9.68
13.5,28.25,9.67
13.5,28.5,9.67
13.5,28.75,9.66
13.5,29,9.65
13.5,29.25,9.65
13.5,29.5,9.64
13.5,29.75,9.63
13.5,30,9.63
13.5,30.25,9.62
13.5,30.5,9.61
13.5,30.75,9.61
13.5,31,9.6
13.5,31.25,9.59
13.5,31.5,9.59
13.5,31.75,9.58
13.5,32,9.57
13.5,32.25,9.57
13.5,32.5,9.56
13.5,32.75,9.55
13.5,33,9.55
13.5,33.25,9.54
13.5,33.5,9.53
13.5,33.75,9.53
13.5,34,9.52
13.5,34.25,9.51
13.5,34.5,9.51
13.5,34.75,9.5
13.5,35,9.49
13.5,35.25,9.49
13.5,35.5,9.48
13.5,35.75,9.47
13.5,36,9.47
13.5,36.25,9.46
13.5,36.5,9.45
13.5,36.75,9.45
13.5,37,9.44
13.5,37.25,9.44
13.5,37.5,9.43
13.5,37.75,9.42
13.5,38,9.42
13.5,38.25,9.41
13.5,38.5,9.4
13.5,38.75,9.4
13.5,39,9.39
13.5,39.25,9.39
13.5,39.5,9.38
13.5,39.75,9.37
13.5,40,9.37
13.5,40.25,9.36
13.5,40.5,9.36
13.5,40.75,9.35
13.5,41,9.34
13.5,41.25,9.34
13.5,41.5,9.33
13.5,41.75,9.33
13.5,42,9.32
13.5,42.25,9.32
13.5,42.5,9.31
13.5,42.75,9.3
13.5,43,9.3
13.5,43.25,9.29
13.5,43.5,9.29
13.5,43.75,9.28
13.5,44,9.28
13.5,44.25,9.27
13.5,44.5,9.27
13.5,44.75,9.26
13.5,45,9.26
13.5,45.25,9.25
13.5,45.5,9.25
13.5,45.75,9.24
13.5,46,9.24
13.5,46.25,9.23
13.5,46.5,9.23
13.5,46.75,9.22
13.5,47,9.22
13.5,47.25,9.21
13.5,47.5,9.21
13.5,47.75,9.2
13.5,48,9.2
13.5,48.25,9.19
