N,E,Z
2,-0.5,10.03
2,-0.25,10.03
2,0,10.03
2,0.25,10.03
2,0.5,10.03
2,0.75,10.02
2,1,10.02
2,1.25,10.02
2,1.5,10.02
2,1.75,10.02
2,2,10.02
2,2.25,10.02
2,2.5,10.02
2,2.75,10.02
2,3,10.01
2,3.25,10.01
2,3.5,10.01
2,3.75,10.01
2,4,10.01
2,4.25,10.01
2,4.5,10.01
2,4.75,10.01
2,5,10.01
2,5.25,10.01
2,5.5,10
2,5.75,10
2,6,10
2,6.25,10
2,6.5,10
2,6.75,10
2,7,10
2,7.25,10
2,7.5,10
2,7.75,10
2,8,10
2,8.25,10
2,8.5,10
2,8.75,10
2,9,10
2,9.25,10
2,9.5,9.99
2,9.75,9.99
2,10,9.99
2,10.25,9.99
2,10.5,9.99
2,10.75,9.99
2,11,9.99
2,11.25,9.99
2,11.5,9.99
2,11.75,9.99
2,12,9.98
2,12.25,9.98
2,12.5,9.98
2,12.75,9.98
2,13,9.98
2,13.25,9.98
2,13.5,9.98
2,13.75,9.97
2,14,9.97
2,14.25,9.97
2,14.5,9.97
2,14.75,9.97
2,15,9.96
2,15.25,9.96
2,15.5,9.96
2,15.75,9.95
2,16,9.95
2,16.25,9.95
2,16.5,9.94
2,16.75,9.94
2,17,9.94
2,17.25,9.93
2,17.5,9.93
2,17.75,9.92
2,18,9.92
2,18.25,9.92
2,18.5,9.91
2,18.75,9.91
2,19,9.9
2,19.25,9.9
2,19.5,9.9
2,19.75,9.89
2,20,9.89
2,20.25,9.88
2,20.5,9.88
2,20.75,9.87
2,21,9.87
2,21.25,9.86
2,21.5,9.85
2,21.75,9.85
2,22,9.84
2,22.25,9.84
2,22.5,9.83
2,22.75,9.83
2,23,9.82
2,23.25,9.81
2,23.5,9.81
2,23.75,9.8
2,24,9.79
2,24.25,9.79
2,24.5,9.78
2,24.75,9.77
2,25,9.77
2,25.25,9.76
2,25.5,9.75
2,25.75,9.74
2,26,9.74
2,26.25,9.73
2,26.5,9.72
2,26.75,9.72
2,27,9.71
2,27.25,9.7
2,27.5,9.69
2,27.75,9.69
2,28,9.68
2,28.25,9.67
2,28.5,9.67
2,28.75,9.66
2,29,9.65
2,29.25,9.64
2,29.5,9.64
2,29.75,9.63
2,30,9.62
2,30.25,9.62
2,30.5,9.61
2,30.75,9.6
2,31,9.59
2,31.25,9.59
2,31.5,9.58
2,31.75,9.57
2,32,9.56
2,32.25,9.56
2,32.5,9.55
2,32.75,9.54
2,33,9.53
2,33.25,9.52
2,33.5,9.52
2,33.75,9.51
2,34,9.5
2,34.25,9.49
2,34.5,9.49
2,34.75,9.48
2,35,9.47
2,35.25,9.46
2,35.5,9.46
2,35.75,9.45
2,36,9.44
2,36.25,9.43
2,36.5,9.43
2,36.75,9.42
2,37,9.41
2,37.25,9.4
2,37.5,9.39
2,37.75,9.39
2,38,9.38
2,38.25,9.37
2,38.5,9.36
2,38.75,9.36
2,39,9.35
2,39.25,9.34
2,39.5,9.34
2,39.75,9.33
2,40,9.32
2,40.25,9.31
2,40.5,9.31
2,40.75,9.3
2,41,9.29
2,41.25,9.29
2,41.5,9.28
2,41.75,9.27
2,42,9.27
2,42.25,9.26
2,42.5,9.26
2,42.75,9.25
2,43,9.25
2,43.25,9.24
2,43.5,9.24
2,43.75,9.23
2,44,9.23
2,44.25,9.22
2,44.5,9.22
2,44.75,9.21
2,45,9.21
2,45.25,9.21
2,45.5,9.2
2,45.75,9.2
2,46,9.19
2,46.25,9.19
2,46.5,9.18
2,46.75,9.18
2,47,9.18
2,47.25,9.17
2,47.5,9.17
2,47.75,9.16
2,48,9.16
2,48.25,9.16
2,48.5,9.15
2,48.75,9.15
