N,E,Z
20.25,0.5,10.07
20.25,0.75,10.07
20.25,1,10.07
20.25,1.25,10.07
20.25,1.5,10.07
20.25,1.75,10.07
20.25,2,10.07
20.25,2.25,10.07
20.25,2.5,10.06
20.25,2.75,10.06
20.25,3,10.06
20.25,3.25,10.06
20.25,3.5,10.06
20.25,3.75,10.06
20.25,4,10.06
20.25,4.25,10.06
20.25,4.5,10.06
20.25,4.75,10.06
20.25,5,10.06
20.25,5.25,10.06
20.25,5.5,10.05
20.25,5.75,10.05
20.25,6,10.05
20.25,6.25,10.05
20.25,6.5,10.05
20.25,6.75,10.05
20.25,7,10.05
20.25,7.25,10.04
20.25,7.5,10.04
20.25,7.75,10.04
20.25,8,10.04
20.25,8.25,10.04
20.25,8.5,10.04
20.25,8.75,10.03
20.25,9,10.03
20.25,9.25,10.03
20.25,9.5,10.03
20.25,9.75,10.02
20.25,10,10.02
20.25,10.25,10.02
20.25,10.5,10.02
20.25,10.75,10.01
20.25,11,10.01
20.25,11.25,10.01
20.25,11.5,10.01
20.25,11.75,10
20.25,12,10
20.25,12.25,10
20.25,12.5,10
20.25,12.75,9.99
20.25,13,9.99
20.25,13.25,9.99
20.25,13.5,9.99
20.25,13.75,9.98
20.25,14,9.98
20.25,14.25,9.98
20.25,14.5,9.98
20.25,14.75,9.97
20.25,15,9.97
20.25,15.25,9.97
20.25,15.5,9.96
20.25,15.75,9.96
20.25,16,9.96
20.25,16.25,9.95
20.25,16.5,9.95
20.25,16.75,9.95
20.25,17,9.94
20.25,17.25,9.94
20.25,17.5,9.94
20.25,17.75,9.93
20.25,18,9.93
20.25,18.25,9.93
20.25,18.5,9.92
20.25,18.75,9.92
20.25,19,9.91
20.25,19.25,9.91
20.25,19.5,9.9
20.25,19.75,9.9
20.25,20,9.89
20.25,20.25,9.89
20.25,20.5,9.88
20.25,20.75,9.88
20.25,21,9.87
20.25,21.25,9.87
20.25,21.5,9.86
20.25,21.75,9.85
20.25,22,9.85
20.25,22.25,9.84
20.25,22.5,9.84
20.25,22.75,9.83
20.25,23,9.82
20.25,23.25,9.82
20.25,23.5,9.81
20.25,23.75,9.81
20.25,24,9.8
20.25,24.25,9.79
20.25,24.5,9.79
20.25,24.75,9.78
20.25,25,9.77
20.25,25.25,9.77
20.25,25.5,9.76
20.25,25.75,9.76
20.25,26,9.75
20.25,26.25,9.74
20.25,26.5,9.74
20.25,26.75,9.73
20.25,27,9.72
20.25,27.25,9.72
20.25,27.5,9.71
20.25,27.75,9.7
20.25,28,9.7
20.25,28.25,9.69
20.25,28.5,9.68
20.25,28.75,9.67
20.25,29,9.67
20.25,29.25,9.66
20.25,29.5,9.65
20.25,29.75,9.64
20.25,30,9.64
20.25,30.25,9.63
20.25,30.5,9.62
20.25,30.75,9.61
20.25,31,9.61
20.25,31.25,9.6
20.25,31.5,9.59
20.25,31.75,9.59
20.25,32,9.58
20.25,32.25,9.57
20.25,32.5,9.56
20.25,32.75,9.56
20.25,33,9.55
20.25,33.25,9.54
20.25,33.5,9.54
20.25,33.75,9.53
20.25,34,9.52
20.25,34.25,9.51
20.25,34.5,9.51
20.25,34.75,9.5
20.25,35,9.49
20.25,35.25,9.48
20.25,35.5,9.48
20.25,35.75,9.47
20.25,36,9.46
20.25,36.25,9.46
20.25,36.5,9.45
20.25,36.75,9.44
20.25,37,9.44
20.25,37.25,9.43
20.25,37.5,9.42
20.25,37.75,9.42
20.25,38,9.41
20.25,38.25,9.41
20.25,38.5,9.4
20.25,38.75,9.39
20.25,39,9.39
20.25,39.25,9.38
20.25,39.5,9.38
20.25,39.75,9.37
20.25,40,9.36
20.25,40.25,9.36
20.25,40.5,9.35
20.25,40.75,9.35
20.25,41,9.34
20.25,41.25,9.33
20.25,41.5,9.33
20.25,41.75,9.32
20.25,42,9.32
20.25,42.25,9.31
20.25,42.5,9.3
20.25,42.75,9.3
20.25,43,9.29
20.25,43.25,9.29
20.25,43.5,9.28
20.25,43.75,9.27
20.25,44,9.27
20.25,44.25,9.26
20.25,44.5,9.26
20.25,44.75,9.25
20.25,45,9.24
20.25,45.25,9.24
20.25,45.5,9.23
20.25,45.75,9.23
20.25,46,9.22
20.25,46.25,9.21
20.25,46.5,9.21
20.25,46.75,9.2
20.25,47,9.2
20.25,47.25,9.19
20.25,47.5,9.18
20.25,47.75,9.18
20.25,48,9.17
20.25,48.25,9.17
20.25,48.5,9.16
20.25,48.75,9.16
20.25,49,9.16
20.25,49.25,9.15
20.25,49.5,9.15
20.25,49.75,9.14
