N,E,Z
18.5,-0.75,10.06
18.5,-0.5,10.06
18.5,-0.25,10.06
18.5,0,10.06
18.5,0.25,10.06
18.5,0.5,10.06
18.5,0.75,10.06
18.5,1,10.06
18.5,1.25,10.06
18.5,1.5,10.06
18.5,1.75,10.06
18.5,2,10.06
18.5,2.25,10.05
18.5,2.5,10.05
18.5,2.75,10.05
18.5,3,10.05
18.5,3.25,10.05
18.5,3.5,10.05
18.5,3.75,10.05
18.5,4,10.05
18.5,4.25,10.05
18.5,4.5,10.05
18.5,4.75,10.05
18.5,5,10.05
18.5,5.25,10.05
18.5,5.5,10.05
18.5,5.75,10.05
18.5,6,10.04
18.5,6.25,10.04
18.5,6.5,10.04
18.5,6.75,10.04
18.5,7,10.04
18.5,7.25,10.04
18.5,7.5,10.04
18.5,7.75,10.04
18.5,8,10.03
18.5,8.25,10.03
18.5,8.5,10.03
18.5,8.75,10.03
18.5,9,10.03
18.5,9.25,10.02
18.5,9.5,10.02
18.5,9.75,10.02
18.5,10,10.02
18.5,10.25,10.01
18.5,10.5,10.01
18.5,10.75,10.01
18.5,11,10.01
18.5,11.25,10
18.5,11.5,10
18.5,11.75,10
18.5,12,10
18.5,12.25,9.99
18.5,12.5,9.99
18.5,12.75,9.99
18.5,13,9.99
18.5,13.25,9.98
18.5,13.5,9.98
18.5,13.75,9.98
18.5,14,9.98
18.5,14.25,9.97
18.5,14.5,9.97
18.5,14.75,9.97
18.5,15,9.97
18.5,15.25,9.96
18.5,15.5,9.96
18.5,15.75,9.96
18.5,16,9.96
18.5,16.25,9.95
18.5,16.5,9.95
18.5,16.75,9.95
18.5,17,9.95
18.5,17.25,9.94
18.5,17.5,9.94
18.5,17.75,9.94
18.5,18,9.93
18.5,18.25,9.93
18.5,18.5,9.93
18.5,18.75,9.92
18.5,19,9.92
18.5,19.25,9.91
18.5,19.5,9.91
18.5,19.75,9.9
18.5,20,9.9
18.5,20.25,9.89
18.5,20.5,9.89
18.5,20.75,9.88
18.5,21,9.87
18.5,21.25,9.87
18.5,21.5,9.86
18.5,21.75,9.86
18.5,22,9.85
18.5,22.25,9.84
18.5,22.5,9.84
18.5,22.75,9.83
18.5,23,9.83
18.5,23.25,9.82
18.5,23.5,9.81
18.5,23.75,9.81
18.5,24,9.8
18.5,24.25,9.8
18.5,24.5,9.79
18.5,24.75,9.78
18.5,25,9.78
18.5,25.25,9.77
18.5,25.5,9.77
18.5,25.75,9.76
18.5,26,9.75
18.5,26.25,9.75
18.5,26.5,9.74
18.5,26.75,9.74
18.5,27,9.73
18.5,27.25,9.72
18.5,27.5,9.72
18.5,27.75,9.71
18.5,28,9.7
18.5,28.25,9.69
18.5,28.5,9.69
18.5,28.75,9.68
18.5,29,9.67
18.5,29.25,9.66
18.5,29.5,9.66
18.5,29.75,9.65
18.5,30,9.64
18.5,30.25,9.63
18.5,30.5,9.63
18.5,30.75,9.62
18.5,31,9.61
18.5,31.25,9.61
18.5,31.5,9.6
18.5,31.75,9.59
18.5,32,9.58
18.5,32.25,9.58
18.5,32.5,9.57
18.5,32.75,9.56
18.5,33,9.56
18.5,33.25,9.55
18.5,33.5,9.54
18.5,33.75,9.53
18.5,34,9.53
18.5,34.25,9.52
18.5,34.5,9.51
18.5,34.75,9.51
18.5,35,9.5
18.5,35.25,9.49
18.5,35.5,9.48
18.5,35.75,9.48
18.5,36,9.47
18.5,36.25,9.46
18.5,36.5,9.46
18.5,36.75,9.45
18.5,37,9.44
18.5,37.25,9.44
18.5,37.5,9.43
18.5,37.75,9.42
18.5,38,9.42
18.5,38.25,9.41
18.5,38.5,9.4
18.5,38.75,9.4
18.5,39,9.39
18.5,39.25,9.39
18.5,39.5,9.38
18.5,39.75,9.37
18.5,40,9.37
18.5,40.25,9.36
18.5,40.5,9.36
18.5,40.75,9.35
18.5,41,9.34
18.5,41.25,9.34
18.5,41.5,9.33
18.5,41.75,9.33
18.5,42,9.32
18.5,42.25,9.31
18.5,42.5,9.31
18.5,42.75,9.3
18.5,43,9.3
18.5,43.25,9.29
18.5,43.5,9.28
18.5,43.75,9.28
18.5,44,9.27
18.5,44.25,9.27
18.5,44.5,9.26
18.5,44.75,9.25
18.5,45,9.25
18.5,45.25,9.24
18.5,45.5,9.24
18.5,45.75,9.23
18.5,46,9.22
18.5,46.25,9.22
18.5,46.5,9.21
18.5,46.75,9.21
18.5,47,9.2
18.5,47.25,9.2
18.5,47.5,9.19
18.5,47.75,9.19
18.5,48,9.18
18.5,48.25,9.18
