N,E,Z
18,0,10.05
18,0.25,10.05
18,0.5,10.05
18,0.75,10.05
18,1,10.05
18,1.25,10.05
18,1.5,10.05
18,1.75,10.05
18,2,10.05
18,2.25,10.05
18,2.5,10.05
18,2.75,10.05
18,3,10.05
18,3.25,10.05
18,3.5,10.05
18,3.75,10.05
18,4,10.05
18,4.25,10.05
18,4.5,10.05
18,4.75,10.05
18,5,10.05
18,5.25,10.05
18,5.5,10.04
18,5.75,10.04
18,6,10.04
18,6.25,10.04
18,6.5,10.04
18,6.75,10.04
18,7,10.04
18,7.25,10.04
18,7.5,10.04
18,7.75,10.03
18,8,10.03
18,8.25,10.03
18,8.5,10.03
18,8.75,10.03
18,9,10.02
18,9.25,10.02
18,9.5,10.02
18,9.75,10.02
18,10,10.01
18,10.25,10.01
18,10.5,10.01
18,10.75,10.01
18,11,10
18,11.25,10
18,11.5,10
18,11.75,10
18,12,9.99
18,12.25,9.99
18,12.5,9.99
18,12.75,9.99
18,13,9.98
18,13.25,9.98
18,13.5,9.98
18,13.75,9.98
18,14,9.97
18,14.25,9.97
18,14.5,9.97
18,14.75,9.97
18,15,9.97
18,15.25,9.96
18,15.5,9.96
18,15.75,9.96
18,16,9.96
18,16.25,9.95
18,16.5,9.95
18,16.75,9.95
18,17,9.95
18,17.25,9.95
18,17.5,9.94
18,17.75,9.94
18,18,9.94
18,18.25,9.93
18,18.5,9.93
18,18.75,9.93
18,19,9.92
18,19.25,9.92
18,19.5,9.91
18,19.75,9.9
18,20,9.9
18,20.25,9.89
18,20.5,9.89
18,20.75,9.88
18,21,9.87
18,21.25,9.87
18,21.5,9.86
18,21.75,9.86
18,22,9.85
18,22.25,9.84
18,22.5,9.84
18,22.75,9.83
18,23,9.82
18,23.25,9.82
18,23.5,9.81
18,23.75,9.81
18,24,9.8
18,24.25,9.79
18,24.5,9.79
18,24.75,9.78
18,25,9.78
18,25.25,9.77
18,25.5,9.77
18,25.75,9.76
18,26,9.76
18,26.25,9.75
18,26.5,9.74
18,26.75,9.74
18,27,9.73
18,27.25,9.73
18,27.5,9.72
18,27.75,9.71
18,28,9.7
18,28.25,9.7
18,28.5,9.69
18,28.75,9.68
18,29,9.67
18,29.25,9.66
18,29.5,9.66
18,29.75,9.65
18,30,9.64
18,30.25,9.63
18,30.5,9.63
18,30.75,9.62
18,31,9.61
18,31.25,9.61
18,31.5,9.6
18,31.75,9.59
18,32,9.59
18,32.25,9.58
18,32.5,9.57
18,32.75,9.57
18,33,9.56
18,33.25,9.55
18,33.5,9.54
18,33.75,9.54
18,34,9.53
18,34.25,9.52
18,34.5,9.51
18,34.75,9.51
18,35,9.5
18,35.25,9.49
18,35.5,9.49
18,35.75,9.48
18,36,9.47
18,36.25,9.46
18,36.5,9.46
18,36.75,9.45
18,37,9.44
18,37.25,9.44
18,37.5,9.43
18,37.75,9.42
18,38,9.42
18,38.25,9.41
18,38.5,9.41
18,38.75,9.4
18,39,9.39
18,39.25,9.39
18,39.5,9.38
18,39.75,9.37
18,40,9.37
18,40.25,9.36
18,40.5,9.36
18,40.75,9.35
18,41,9.34
18,41.25,9.34
18,41.5,9.33
18,41.75,9.33
18,42,9.32
18,42.25,9.31
18,42.5,9.31
18,42.75,9.3
18,43,9.3
18,43.25,9.29
18,43.5,9.28
18,43.75,9.28
18,44,9.27
18,44.25,9.27
18,44.5,9.26
18,44.75,9.25
18,45,9.25
18,45.25,9.24
18,45.5,9.24
18,45.75,9.23
18,46,9.23
18,46.25,9.22
18,46.5,9.21
18,46.75,9.21
18,47,9.2
18,47.25,9.2
18,47.5,9.19
18,47.75,9.19
18,48,9.18
