N,E,Z
15,-1,10.05
15,-0.75,10.05
15,-0.5,10.05
15,-0.25,10.05
15,0,10.04
15,0.25,10.04
15,0.5,10.04
15,0.75,10.04
15,1,10.04
15,1.25,10.04
15,1.5,10.04
15,1.75,10.04
15,2,10.04
15,2.25,10.04
15,2.5,10.04
15,2.75,10.04
15,3,10.03
15,3.25,10.03
15,3.5,10.03
15,3.75,10.03
15,4,10.03
15,4.25,10.03
15,4.5,10.03
15,4.75,10.03
15,5,10.03
15,5.25,10.03
15,5.5,10.03
15,5.75,10.03
15,6,10.03
15,6.25,10.03
15,6.5,10.03
15,6.75,10.03
15,7,10.03
15,7.25,10.03
15,7.5,10.03
15,7.75,10.03
15,8,10.03
15,8.25,10.03
15,8.5,10.03
15,8.75,10.02
15,9,10.02
15,9.25,10.01
15,9.5,10.01
15,9.75,10.01
15,10,10
15,10.25,10
15,10.5,10
15,10.75,9.99
15,11,9.99
15,11.25,9.99
15,11.5,9.98
15,11.75,9.98
15,12,9.98
15,12.25,9.97
15,12.5,9.97
15,12.75,9.97
15,13,9.97
15,13.25,9.97
15,13.5,9.96
15,13.75,9.96
15,14,9.96
15,14.25,9.96
15,14.5,9.95
15,14.75,9.95
15,15,9.95
15,15.25,9.95
15,15.5,9.95
15,15.75,9.95
15,16,9.94
15,16.25,9.94
15,16.5,9.94
15,16.75,9.94
15,17,9.94
15,17.25,9.94
15,17.5,9.94
15,17.75,9.93
15,18,9.93
15,18.25,9.93
15,18.5,9.93
15,18.75,9.92
15,19,9.92
15,19.25,9.91
15,19.5,9.91
15,19.75,9.9
15,20,9.89
15,20.25,9.89
15,20.5,9.88
15,20.75,9.87
15,21,9.87
15,21.25,9.86
15,21.5,9.85
15,21.75,9.85
15,22,9.84
15,22.25,9.83
15,22.5,9.83
15,22.75,9.82
15,23,9.81
15,23.25,9.81
15,23.5,9.8
15,23.75,9.8
15,24,9.79
15,24.25,9.78
15,24.5,9.78
15,24.75,9.77
15,25,9.77
15,25.25,9.76
15,25.5,9.75
15,25.75,9.75
15,26,9.74
15,26.25,9.74
15,26.5,9.73
15,26.75,9.72
15,27,9.72
15,27.25,9.71
15,27.5,9.7
15,27.75,9.7
15,28,9.69
15,28.25,9.68
15,28.5,9.68
15,28.75,9.67
15,29,9.66
15,29.25,9.66
15,29.5,9.65
15,29.75,9.64
15,30,9.63
15,30.25,9.63
15,30.5,9.62
15,30.75,9.61
15,31,9.61
15,31.25,9.6
15,31.5,9.59
15,31.75,9.59
15,32,9.58
15,32.25,9.57
15,32.5,9.57
15,32.75,9.56
15,33,9.55
15,33.25,9.54
15,33.5,9.54
15,33.75,9.53
15,34,9.52
15,34.25,9.52
15,34.5,9.51
15,34.75,9.5
15,35,9.5
15,35.25,9.49
15,35.5,9.48
15,35.75,9.48
15,36,9.47
15,36.25,9.46
15,36.5,9.46
15,36.75,9.45
15,37,9.44
15,37.25,9.44
15,37.5,9.43
15,37.75,9.43
15,38,9.42
15,38.25,9.41
15,38.5,9.41
15,38.75,9.4
15,39,9.39
15,39.25,9.39
15,39.5,9.38
15,39.75,9.38
15,40,9.37
15,40.25,9.36
15,40.5,9.36
15,40.75,9.35
15,41,9.35
15,41.25,9.34
15,41.5,9.33
15,41.75,9.33
15,42,9.32
15,42.25,9.32
15,42.5,9.31
15,42.75,9.3
15,43,9.3
15,43.25,9.29
15,43.5,9.29
15,43.75,9.28
15,44,9.28
15,44.25,9.27
15,44.5,9.27
15,44.75,9.26
15,45,9.26
15,45.25,9.25
15,45.5,9.24
15,45.75,9.24
15,46,9.23
15,46.25,9.23
15,46.5,9.22
15,46.75,9.22
15,47,9.21
15,47.25,9.21
15,47.5,9.2
15,47.75,9.2
15,48,9.19
15,48.25,9.19
