N,E,Z
21.5,-0.5,10.08
21.5,-0.25,10.08
21.5,0,10.08
21.5,0.25,10.08
21.5,0.5,10.08
21.5,0.75,10.08
21.5,1,10.08
21.5,1.25,10.08
21.5,1.5,10.08
21.5,1.75,10.08
21.5,2,10.07
21.5,2.25,10.07
21.5,2.5,10.07
21.5,2.75,10.07
21.5,3,10.07
21.5,3.25,10.07
21.5,3.5,10.07
21.5,3.75,10.07
21.5,4,10.07
21.5,4.25,10.07
21.5,4.5,10.07
21.5,4.75,10.06
21.5,5,10.06
21.5,5.25,10.06
21.5,5.5,10.06
21.5,5.75,10.06
21.5,6,10.06
21.5,6.25,10.06
21.5,6.5,10.05
21.5,6.75,10.05
21.5,7,10.05
21.5,7.25,10.05
21.5,7.5,10.05
21.5,7.75,10.05
21.5,8,10.04
21.5,8.25,10.04
21.5,8.5,10.04
21.5,8.75,10.04
21.5,9,10.04
21.5,9.25,10.03
21.5,9.5,10.03
21.5,9.75,10.03
21.5,10,10.03
21.5,10.25,10.02
21.5,10.5,10.02
21.5,10.75,10.02
21.5,11,10.02
21.5,11.25,10.01
21.5,11.5,10.01
21.5,11.75,10.01
21.5,12,10.01
21.5,12.25,10
21.5,12.5,10
21.5,12.75,10
21.5,13,10
21.5,13.25,9.99
21.5,13.5,9.99
21.5,13.75,9.99
21.5,14,9.98
21.5,14.25,9.98
21.5,14.5,9.98
21.5,14.75,9.97
21.5,15,9.97
21.5,15.25,9.97
21.5,15.5,9.96
21.5,15.75,9.96
21.5,16,9.96
21.5,16.25,9.95
21.5,16.5,9.95
21.5,16.75,9.95
21.5,17,9.94
21.5,17.25,9.94
21.5,17.5,9.94
21.5,17.75,9.93
21.5,18,9.93
21.5,18.25,9.92
21.5,18.5,9.92
21.5,18.75,9.92
21.5,19,9.91
21.5,19.25,9.91
21.5,19.5,9.9
21.5,19.75,9.9
21.5,20,9.89
21.5,20.25,9.89
21.5,20.5,9.88
21.5,20.75,9.88
21.5,21,9.87
21.5,21.25,9.86
21.5,21.5,9.86
21.5,21.75,9.85
21.5,22,9.85
21.5,22.25,9.84
21.5,22.5,9.83
21.5,22.75,9.83
21.5,23,9.82
21.5,23.25,9.82
21.5,23.5,9.81
21.5,23.75,9.8
21.5,24,9.8
21.5,24.25,9.79
21.5,24.5,9.78
21.5,24.75,9.78
21.5,25,9.77
21.5,25.25,9.77
21.5,25.5,9.76
21.5,25.75,9.75
21.5,26,9.75
21.5,26.25,9.74
21.5,26.5,9.73
21.5,26.75,9.73
21.5,27,9.72
21.5,27.25,9.71
21.5,27.5,9.71
21.5,27.75,9.7
21.5,28,9.69
21.5,28.25,9.68
21.5,28.5,9.68
21.5,28.75,9.67
21.5,29,9.66
21.5,29.25,9.65
21.5,29.5,9.65
21.5,29.75,9.64
21.5,30,9.63
21.5,30.25,9.62
21.5,30.5,9.62
21.5,30.75,9.61
21.5,31,9.6
21.5,31.25,9.6
21.5,31.5,9.59
21.5,31.75,9.58
21.5,32,9.57
21.5,32.25,9.57
21.5,32.5,9.56
21.5,32.75,9.55
21.5,33,9.55
21.5,33.25,9.54
21.5,33.5,9.53
21.5,33.75,9.52
21.5,34,9.52
21.5,34.25,9.51
21.5,34.5,9.5
21.5,34.75,9.49
21.5,35,9.49
21.5,35.25,9.48
21.5,35.5,9.47
21.5,35.75,9.46
21.5,36,9.45
21.5,36.25,9.45
21.5,36.5,9.44
21.5,36.75,9.44
21.5,37,9.43
21.5,37.25,9.43
21.5,37.5,9.42
21.5,37.75,9.41
21.5,38,9.41
21.5,38.25,9.4
21.5,38.5,9.4
21.5,38.75,9.39
21.5,39,9.38
21.5,39.25,9.38
21.5,39.5,9.37
21.5,39.75,9.37
21.5,40,9.36
21.5,40.25,9.35
21.5,40.5,9.35
21.5,40.75,9.34
21.5,41,9.34
21.5,41.25,9.33
21.5,41.5,9.32
21.5,41.75,9.32
21.5,42,9.31
21.5,42.25,9.31
21.5,42.5,9.3
21.5,42.75,9.29
21.5,43,9.29
21.5,43.25,9.28
21.5,43.5,9.28
21.5,43.75,9.27
21.5,44,9.26
21.5,44.25,9.26
21.5,44.5,9.25
21.5,44.75,9.25
21.5,45,9.24
21.5,45.25,9.23
21.5,45.5,9.23
21.5,45.75,9.22
21.5,46,9.22
21.5,46.25,9.21
21.5,46.5,9.21
21.5,46.75,9.2
21.5,47,9.19
21.5,47.25,9.19
21.5,47.5,9.18
21.5,47.75,9.18
21.5,48,9.17
