N,E,Z
24,0,10.1
24,0.25,10.1
24,0.5,10.1
24,0.75,10.1
24,1,10.1
24,1.25,10.1
24,1.5,10.1
24,1.75,10.09
24,2,10.09
24,2.25,10.09
24,2.5,10.09
24,2.75,10.09
24,3,10.09
24,3.25,10.09
24,3.5,10.09
24,3.75,10.08
24,4,10.08
24,4.25,10.08
24,4.5,10.08
24,4.75,10.08
24,5,10.08
24,5.25,10.08
24,5.5,10.07
24,5.75,10.07
24,6,10.07
24,6.25,10.07
24,6.5,10.07
24,6.75,10.06
24,7,10.06
24,7.25,10.06
24,7.5,10.06
24,7.75,10.06
24,8,10.05
24,8.25,10.05
24,8.5,10.05
24,8.75,10.05
24,9,10.05
24,9.25,10.04
24,9.5,10.04
24,9.75,10.04
24,10,10.04
24,10.25,10.03
24,10.5,10.03
24,10.75,10.03
24,11,10.03
24,11.25,10.02
24,11.5,10.02
24,11.75,10.02
24,12,10.01
24,12.25,10.01
24,12.5,10.01
24,12.75,10.01
24,13,10
24,13.25,10
24,13.5,10
24,13.75,9.99
24,14,9.99
24,14.25,9.99
24,14.5,9.98
24,14.75,9.98
24,15,9.98
24,15.25,9.97
24,15.5,9.97
24,15.75,9.97
24,16,9.96
24,16.25,9.96
24,16.5,9.95
24,16.75,9.95
24,17,9.95
24,17.25,9.94
24,17.5,9.94
24,17.75,9.93
24,18,9.93
24,18.25,9.92
24,18.5,9.92
24,18.75,9.91
24,19,9.91
24,19.25,9.9
24,19.5,9.9
24,19.75,9.89
24,20,9.89
24,20.25,9.88
24,20.5,9.88
24,20.75,9.87
24,21,9.87
24,21.25,9.86
24,21.5,9.86
24,21.75,9.85
24,22,9.84
24,22.25,9.84
24,22.5,9.83
24,22.75,9.83
24,23,9.82
24,23.25,9.81
24,23.5,9.81
24,23.75,9.8
24,24,9.79
24,24.25,9.79
24,24.5,9.78
24,24.75,9.77
24,25,9.77
24,25.25,9.76
24,25.5,9.75
24,25.75,9.75
24,26,9.74
24,26.25,9.73
24,26.5,9.73
24,26.75,9.72
24,27,9.71
24,27.25,9.71
24,27.5,9.7
24,27.75,9.69
24,28,9.69
24,28.25,9.68
24,28.5,9.67
24,28.75,9.67
24,29,9.66
24,29.25,9.65
24,29.5,9.64
24,29.75,9.64
24,30,9.63
24,30.25,9.62
24,30.5,9.62
24,30.75,9.61
24,31,9.6
24,31.25,9.59
24,31.5,9.59
24,31.75,9.58
24,32,9.57
24,32.25,9.57
24,32.5,9.56
24,32.75,9.55
24,33,9.55
24,33.25,9.54
24,33.5,9.53
24,33.75,9.52
24,34,9.52
24,34.25,9.51
24,34.5,9.5
24,34.75,9.5
24,35,9.49
24,35.25,9.48
24,35.5,9.47
24,35.75,9.47
24,36,9.46
24,36.25,9.45
24,36.5,9.45
24,36.75,9.44
24,37,9.43
24,37.25,9.43
24,37.5,9.42
24,37.75,9.41
24,38,9.41
24,38.25,9.4
24,38.5,9.39
24,38.75,9.39
24,39,9.38
24,39.25,9.37
24,39.5,9.37
24,39.75,9.36
24,40,9.36
24,40.25,9.35
24,40.5,9.34
24,40.75,9.34
24,41,9.33
24,41.25,9.33
24,41.5,9.32
24,41.75,9.31
24,42,9.31
24,42.25,9.3
24,42.5,9.3
24,42.75,9.29
24,43,9.28
24,43.25,9.28
24,43.5,9.27
24,43.75,9.27
24,44,9.26
24,44.25,9.25
24,44.5,9.25
24,44.75,9.24
24,45,9.24
24,45.25,9.23
24,45.5,9.22
24,45.75,9.22
24,46,9.21
24,46.25,9.21
24,46.5,9.2
24,46.75,9.19
24,47,9.19
24,47.25,9.18
24,47.5,9.18
24,47.75,9.17
24,48,9.17
24,48.25,9.16
24,48.5,9.16
24,48.75,9.15
