N,E,Z
14,-1,10.05
14,-0.75,10.05
14,-0.5,10.04
14,-0.25,10.04
14,0,10.04
14,0.25,10.04
14,0.5,10.04
14,0.75,10.04
14,1,10.04
14,1.25,10.03
14,1.5,10.03
14,1.75,10.03
14,2,10.03
14,2.25,10.03
14,2.5,10.03
14,2.75,10.03
14,3,10.03
14,3.25,10.03
14,3.5,10.03
14,3.75,10.03
14,4,10.03
14,4.25,10.03
14,4.5,10.03
14,4.75,10.02
14,5,10.02
14,5.25,10.02
14,5.5,10.02
14,5.75,10.02
14,6,10.02
14,6.25,10.02
14,6.5,10.02
14,6.75,10.02
14,7,10.02
14,7.25,10.02
14,7.5,10.02
14,7.75,10.02
14,8,10.02
14,8.25,10.01
14,8.5,10.01
14,8.75,10.01
14,9,10.01
14,9.25,10
14,9.5,10
14,9.75,10
14,10,9.99
14,10.25,9.99
14,10.5,9.99
14,10.75,9.98
14,11,9.98
14,11.25,9.98
14,11.5,9.98
14,11.75,9.97
14,12,9.97
14,12.25,9.97
14,12.5,9.96
14,12.75,9.96
14,13,9.96
14,13.25,9.96
14,13.5,9.96
14,13.75,9.95
14,14,9.95
14,14.25,9.95
14,14.5,9.95
14,14.75,9.95
14,15,9.94
14,15.25,9.94
14,15.5,9.94
14,15.75,9.94
14,16,9.94
14,16.25,9.93
14,16.5,9.93
14,16.75,9.93
14,17,9.93
14,17.25,9.93
14,17.5,9.92
14,17.75,9.92
14,18,9.92
14,18.25,9.92
14,18.5,9.91
14,18.75,9.91
14,19,9.91
14,19.25,9.9
14,19.5,9.9
14,19.75,9.89
14,20,9.89
14,20.25,9.88
14,20.5,9.87
14,20.75,9.87
14,21,9.86
14,21.25,9.85
14,21.5,9.85
14,21.75,9.84
14,22,9.83
14,22.25,9.83
14,22.5,9.82
14,22.75,9.81
14,23,9.81
14,23.25,9.8
14,23.5,9.79
14,23.75,9.79
14,24,9.78
14,24.25,9.78
14,24.5,9.77
14,24.75,9.76
14,25,9.76
14,25.25,9.75
14,25.5,9.75
14,25.75,9.74
14,26,9.73
14,26.25,9.73
14,26.5,9.72
14,26.75,9.72
14,27,9.71
14,27.25,9.7
14,27.5,9.7
14,27.75,9.69
14,28,9.68
14,28.25,9.68
14,28.5,9.67
14,28.75,9.66
14,29,9.66
14,29.25,9.65
14,29.5,9.64
14,29.75,9.64
14,30,9.63
14,30.25,9.62
14,30.5,9.62
14,30.75,9.61
14,31,9.6
14,31.25,9.6
14,31.5,9.59
14,31.75,9.58
14,32,9.58
14,32.25,9.57
14,32.5,9.56
14,32.75,9.56
14,33,9.55
14,33.25,9.54
14,33.5,9.53
14,33.75,9.53
14,34,9.52
14,34.25,9.51
14,34.5,9.51
14,34.75,9.5
14,35,9.49
14,35.25,9.49
14,35.5,9.48
14,35.75,9.48
14,36,9.47
14,36.25,9.46
14,36.5,9.46
14,36.75,9.45
14,37,9.44
14,37.25,9.44
14,37.5,9.43
14,37.75,9.42
14,38,9.42
14,38.25,9.41
14,38.5,9.4
14,38.75,9.4
14,39,9.39
14,39.25,9.39
14,39.5,9.38
14,39.75,9.37
14,40,9.37
14,40.25,9.36
14,40.5,9.36
14,40.75,9.35
14,41,9.34
14,41.25,9.34
14,41.5,9.33
14,41.75,9.33
14,42,9.32
14,42.25,9.32
14,42.5,9.31
14,42.75,9.3
14,43,9.3
14,43.25,9.29
14,43.5,9.29
14,43.75,9.28
14,44,9.28
14,44.25,9.27
14,44.5,9.27
14,44.75,9.26
14,45,9.26
14,45.25,9.25
14,45.5,9.25
14,45.75,9.24
14,46,9.24
14,46.25,9.23
14,46.5,9.23
14,46.75,9.22
14,47,9.22
14,47.25,9.21
14,47.5,9.21
14,47.75,9.2
14,48,9.2
14,48.25,9.19
14,48.5,9.19
