N,E,Z
1.25,0.75,10.03
1.25,1,10.03
1.25,1.25,10.02
1.25,1.5,10.02
1.25,1.75,10.02
1.25,2,10.02
1.25,2.25,10.02
1.25,2.5,10.02
1.25,2.75,10.02
1.25,3,10.02
1.25,3.25,10.02
1.25,3.5,10.01
1.25,3.75,10.01
1.25,4,10.01
1.25,4.25,10.01
1.25,4.5,10.01
1.25,4.75,10.01
1.25,5,10.01
1.25,5.25,10.01
1.25,5.5,10.01
1.25,5.75,10.01
1.25,6,10.01
1.25,6.25,10.01
1.25,6.5,10.01
1.25,6.75,10.01
1.25,7,10
1.25,7.25,10
1.25,7.5,10
1.25,7.75,10
1.25,8,10
1.25,8.25,10
1.25,8.5,10
1.25,8.75,10
1.25,9,10
1.25,9.25,10
1.25,9.5,10
1.25,9.75,10
1.25,10,10
1.25,10.25,10
1.25,10.5,10
1.25,10.75,10
1.25,11,9.99
1.25,11.25,9.99
1.25,11.5,9.99
1.25,11.75,9.99
1.25,12,9.99
1.25,12.25,9.99
1.25,12.5,9.99
1.25,12.75,9.99
1.25,13,9.98
1.25,13.25,9.98
1.25,13.5,9.98
1.25,13.75,9.98
1.25,14,9.98
1.25,14.25,9.98
1.25,14.5,9.97
1.25,14.75,9.97
1.25,15,9.97
1.25,15.25,9.97
1.25,15.5,9.96
1.25,15.75,9.96
1.25,16,9.96
1.25,16.25,9.95
1.25,16.5,9.95
1.25,16.75,9.95
1.25,17,9.94
1.25,17.25,9.94
1.25,17.5,9.93
1.25,17.75,9.93
1.25,18,9.93
1.25,18.25,9.92
1.25,18.5,9.92
1.25,18.75,9.92
1.25,19,9.91
1.25,19.25,9.91
1.25,19.5,9.9
1.25,19.75,9.9
1.25,20,9.9
1.25,20.25,9.89
1.25,20.5,9.88
1.25,20.75,9.88
1.25,21,9.87
1.25,21.25,9.87
1.25,21.5,9.86
1.25,21.75,9.86
1.25,22,9.85
1.25,22.25,9.85
1.25,22.5,9.84
1.25,22.75,9.83
1.25,23,9.83
1.25,23.25,9.82
1.25,23.5,9.82
1.25,23.75,9.81
1.25,24,9.8
1.25,24.25,9.79
1.25,24.5,9.79
1.25,24.75,9.78
1.25,25,9.77
1.25,25.25,9.77
1.25,25.5,9.76
1.25,25.75,9.75
1.25,26,9.74
1.25,26.25,9.73
1.25,26.5,9.73
1.25,26.75,9.72
1.25,27,9.71
1.25,27.25,9.71
1.25,27.5,9.7
1.25,27.75,9.69
1.25,28,9.68
1.25,28.25,9.68
1.25,28.5,9.67
1.25,28.75,9.66
1.25,29,9.66
1.25,29.25,9.65
1.25,29.5,9.64
1.25,29.75,9.63
1.25,30,9.63
1.25,30.25,9.62
1.25,30.5,9.61
1.25,30.75,9.6
1.25,31,9.6
1.25,31.25,9.59
1.25,31.5,9.58
1.25,31.75,9.57
1.25,32,9.56
1.25,32.25,9.56
1.25,32.5,9.55
1.25,32.75,9.54
1.25,33,9.53
1.25,33.25,9.53
1.25,33.5,9.52
1.25,33.75,9.51
1.25,34,9.5
1.25,34.25,9.49
1.25,34.5,9.49
1.25,34.75,9.48
1.25,35,9.47
1.25,35.25,9.46
1.25,35.5,9.45
1.25,35.75,9.45
1.25,36,9.44
1.25,36.25,9.43
1.25,36.5,9.42
1.25,36.75,9.42
1.25,37,9.41
1.25,37.25,9.4
1.25,37.5,9.39
1.25,37.75,9.39
1.25,38,9.38
1.25,38.25,9.37
1.25,38.5,9.36
1.25,38.75,9.35
1.25,39,9.35
1.25,39.25,9.34
1.25,39.5,9.33
1.25,39.75,9.32
1.25,40,9.32
1.25,40.25,9.31
1.25,40.5,9.3
1.25,40.75,9.29
1.25,41,9.29
1.25,41.25,9.28
1.25,41.5,9.27
1.25,41.75,9.27
1.25,42,9.26
1.25,42.25,9.26
1.25,42.5,9.25
1.25,42.75,9.24
1.25,43,9.24
1.25,43.25,9.24
1.25,43.5,9.23
1.25,43.75,9.23
1.25,44,9.22
1.25,44.25,9.22
1.25,44.5,9.21
1.25,44.75,9.21
1.25,45,9.21
1.25,45.25,9.2
1.25,45.5,9.2
1.25,45.75,9.19
1.25,46,9.19
1.25,46.25,9.18
1.25,46.5,9.18
1.25,46.75,9.17
1.25,47,9.17
1.25,47.25,9.17
1.25,47.5,9.16
1.25,47.75,9.16
1.25,48,9.15
1.25,48.25,9.15
1.25,48.5,9.15
1.25,48.75,9.14
1.25,49,9.14
1.25,49.25,9.13
1.25,49.5,9.13
1.25,49.75,9.13
1.25,50,9.12
1.25,50.25,9.12
