N,E,Z
11.25,0.25,10.02
11.25,0.5,10.02
11.25,0.75,10.02
11.25,1,10.02
11.25,1.25,10.02
11.25,1.5,10.02
11.25,1.75,10.02
11.25,2,10.01
11.25,2.25,10.01
11.25,2.5,10.01
11.25,2.75,10.01
11.25,3,10.01
11.25,3.25,10.01
11.25,3.5,10.01
11.25,3.75,10.01
11.25,4,10.01
11.25,4.25,10.01
11.25,4.5,10
11.25,4.75,10
11.25,5,10
11.25,5.25,10
11.25,5.5,10
11.25,5.75,10
11.25,6,10
11.25,6.25,10
11.25,6.5,10
11.25,6.75,9.99
11.25,7,9.99
11.25,7.25,9.99
11.25,7.5,9.99
11.25,7.75,9.99
11.25,8,9.99
11.25,8.25,9.98
11.25,8.5,9.98
11.25,8.75,9.98
11.25,9,9.98
11.25,9.25,9.98
11.25,9.5,9.97
11.25,9.75,9.97
11.25,10,9.97
11.25,10.25,9.97
11.25,10.5,9.97
11.25,10.75,9.96
11.25,11,9.96
11.25,11.25,9.96
11.25,11.5,9.96
11.25,11.75,9.95
11.25,12,9.95
11.25,12.25,9.95
11.25,12.5,9.95
11.25,12.75,9.95
11.25,13,9.94
11.25,13.25,9.94
11.25,13.5,9.94
11.25,13.75,9.94
11.25,14,9.94
11.25,14.25,9.93
11.25,14.5,9.93
11.25,14.75,9.93
11.25,15,9.93
11.25,15.25,9.92
11.25,15.5,9.92
11.25,15.75,9.92
11.25,16,9.91
11.25,16.25,9.91
11.25,16.5,9.91
11.25,16.75,9.91
11.25,17,9.9
11.25,17.25,9.9
11.25,17.5,9.9
11.25,17.75,9.89
11.25,18,9.89
11.25,18.25,9.88
11.25,18.5,9.88
11.25,18.75,9.88
11.25,19,9.87
11.25,19.25,9.87
11.25,19.5,9.86
11.25,19.75,9.86
11.25,20,9.85
11.25,20.25,9.85
11.25,20.5,9.84
11.25,20.75,9.84
11.25,21,9.83
11.25,21.25,9.83
11.25,21.5,9.82
11.25,21.75,9.82
11.25,22,9.81
11.25,22.25,9.8
11.25,22.5,9.8
11.25,22.75,9.79
11.25,23,9.79
11.25,23.25,9.78
11.25,23.5,9.78
11.25,23.75,9.77
11.25,24,9.76
11.25,24.25,9.76
11.25,24.5,9.75
11.25,24.75,9.75
11.25,25,9.74
11.25,25.25,9.73
11.25,25.5,9.73
11.25,25.75,9.72
11.25,26,9.72
11.25,26.25,9.71
11.25,26.5,9.7
11.25,26.75,9.7
11.25,27,9.69
11.25,27.25,9.69
11.25,27.5,9.68
11.25,27.75,9.67
11.25,28,9.67
11.25,28.25,9.66
11.25,28.5,9.66
11.25,28.75,9.65
11.25,29,9.64
11.25,29.25,9.64
11.25,29.5,9.63
11.25,29.75,9.62
11.25,30,9.62
11.25,30.25,9.61
11.25,30.5,9.6
11.25,30.75,9.6
11.25,31,9.59
11.25,31.25,9.59
11.25,31.5,9.58
11.25,31.75,9.57
11.25,32,9.57
11.25,32.25,9.56
11.25,32.5,9.55
11.25,32.75,9.55
11.25,33,9.54
11.25,33.25,9.53
11.25,33.5,9.53
11.25,33.75,9.52
11.25,34,9.51
11.25,34.25,9.51
11.25,34.5,9.5
11.25,34.75,9.49
11.25,35,9.49
11.25,35.25,9.48
11.25,35.5,9.48
11.25,35.75,9.47
11.25,36,9.46
11.25,36.25,9.46
11.25,36.5,9.45
11.25,36.75,9.44
11.25,37,9.44
11.25,37.25,9.43
11.25,37.5,9.42
11.25,37.75,9.42
11.25,38,9.41
11.25,38.25,9.41
11.25,38.5,9.4
11.25,38.75,9.39
11.25,39,9.39
11.25,39.25,9.38
11.25,39.5,9.38
11.25,39.75,9.37
11.25,40,9.36
11.25,40.25,9.36
11.25,40.5,9.35
11.25,40.75,9.35
11.25,41,9.34
11.25,41.25,9.34
11.25,41.5,9.33
11.25,41.75,9.32
11.25,42,9.32
11.25,42.25,9.31
11.25,42.5,9.31
11.25,42.75,9.3
11.25,43,9.3
11.25,43.25,9.29
11.25,43.5,9.29
11.25,43.75,9.28
11.25,44,9.28
11.25,44.25,9.27
11.25,44.5,9.27
11.25,44.75,9.26
11.25,45,9.26
11.25,45.25,9.25
11.25,45.5,9.25
11.25,45.75,9.24
11.25,46,9.24
11.25,46.25,9.23
11.25,46.5,9.23
11.25,46.75,9.22
11.25,47,9.22
11.25,47.25,9.22
11.25,47.5,9.21
11.25,47.75,9.21
11.25,48,9.2
11.25,48.25,9.2
11.25,48.5,9.19
11.25,48.75,9.19
11.25,49,9.18
11.25,49.25,9.18
11.25,49.5,9.18
11.25,49.75,9.17
