N,E,Z
20.75,0.5,10.07
20.75,0.75,10.07
20.75,1,10.07
20.75,1.25,10.07
20.75,1.5,10.07
20.75,1.75,10.07
20.75,2,10.07
20.75,2.25,10.07
20.75,2.5,10.07
20.75,2.75,10.07
20.75,3,10.07
20.75,3.25,10.07
20.75,3.5,10.06
20.75,3.75,10.06
20.75,4,10.06
20.75,4.25,10.06
20.75,4.5,10.06
20.75,4.75,10.06
20.75,5,10.06
20.75,5.25,10.06
20.75,5.5,10.06
20.75,5.75,10.06
20.75,6,10.05
20.75,6.25,10.05
20.75,6.5,10.05
20.75,6.75,10.05
20.75,7,10.05
20.75,7.25,10.05
20.75,7.5,10.04
20.75,7.75,10.04
20.75,8,10.04
20.75,8.25,10.04
20.75,8.5,10.04
20.75,8.75,10.04
20.75,9,10.03
20.75,9.25,10.03
20.75,9.5,10.03
20.75,9.75,10.03
20.75,10,10.02
20.75,10.25,10.02
20.75,10.5,10.02
20.75,10.75,10.02
20.75,11,10.01
20.75,11.25,10.01
20.75,11.5,10.01
20.75,11.75,10.01
20.75,12,10
20.75,12.25,10
20.75,12.5,10
20.75,12.75,10
20.75,13,9.99
20.75,13.25,9.99
20.75,13.5,9.99
20.75,13.75,9.98
20.75,14,9.98
20.75,14.25,9.98
20.75,14.5,9.98
20.75,14.75,9.97
20.75,15,9.97
20.75,15.25,9.97
20.75,15.5,9.96
20.75,15.75,9.96
20.75,16,9.96
20.75,16.25,9.95
20.75,16.5,9.95
20.75,16.75,9.95
20.75,17,9.94
20.75,17.25,9.94
20.75,17.5,9.94
20.75,17.75,9.93
20.75,18,9.93
20.75,18.25,9.92
20.75,18.5,9.92
20.75,18.75,9.92
20.75,19,9.91
20.75,19.25,9.91
20.75,19.5,9.9
20.75,19.75,9.9
20.75,20,9.89
20.75,20.25,9.89
20.75,20.5,9.88
20.75,20.75,9.88
20.75,21,9.87
20.75,21.25,9.86
20.75,21.5,9.86
20.75,21.75,9.85
20.75,22,9.85
20.75,22.25,9.84
20.75,22.5,9.84
20.75,22.75,9.83
20.75,23,9.82
20.75,23.25,9.82
20.75,23.5,9.81
20.75,23.75,9.8
20.75,24,9.8
20.75,24.25,9.79
20.75,24.5,9.79
20.75,24.75,9.78
20.75,25,9.77
20.75,25.25,9.77
20.75,25.5,9.76
20.75,25.75,9.75
20.75,26,9.75
20.75,26.25,9.74
20.75,26.5,9.74
20.75,26.75,9.73
20.75,27,9.72
20.75,27.25,9.71
20.75,27.5,9.71
20.75,27.75,9.7
20.75,28,9.69
20.75,28.25,9.69
20.75,28.5,9.68
20.75,28.75,9.67
20.75,29,9.66
20.75,29.25,9.66
20.75,29.5,9.65
20.75,29.75,9.64
20.75,30,9.64
20.75,30.25,9.63
20.75,30.5,9.62
20.75,30.75,9.61
20.75,31,9.61
20.75,31.25,9.6
20.75,31.5,9.59
20.75,31.75,9.58
20.75,32,9.58
20.75,32.25,9.57
20.75,32.5,9.56
20.75,32.75,9.56
20.75,33,9.55
20.75,33.25,9.54
20.75,33.5,9.53
20.75,33.75,9.53
20.75,34,9.52
20.75,34.25,9.51
20.75,34.5,9.5
20.75,34.75,9.5
20.75,35,9.49
20.75,35.25,9.48
20.75,35.5,9.47
20.75,35.75,9.47
20.75,36,9.46
20.75,36.25,9.45
20.75,36.5,9.45
20.75,36.75,9.44
20.75,37,9.43
20.75,37.25,9.43
20.75,37.5,9.42
20.75,37.75,9.42
20.75,38,9.41
20.75,38.25,9.4
20.75,38.5,9.4
20.75,38.75,9.39
20.75,39,9.39
20.75,39.25,9.38
20.75,39.5,9.37
20.75,39.75,9.37
20.75,40,9.36
20.75,40.25,9.36
20.75,40.5,9.35
20.75,40.75,9.34
20.75,41,9.34
20.75,41.25,9.33
20.75,41.5,9.33
20.75,41.75,9.32
20.75,42,9.31
20.75,42.25,9.31
20.75,42.5,9.3
20.75,42.75,9.3
20.75,43,9.29
20.75,43.25,9.28
20.75,43.5,9.28
20.75,43.75,9.27
20.75,44,9.27
20.75,44.25,9.26
20.75,44.5,9.25
20.75,44.75,9.25
20.75,45,9.24
20.75,45.25,9.24
20.75,45.5,9.23
20.75,45.75,9.22
20.75,46,9.22
20.75,46.25,9.21
20.75,46.5,9.21
20.75,46.75,9.2
20.75,47,9.19
20.75,47.25,9.19
20.75,47.5,9.18
20.75,47.75,9.18
20.75,48,9.17
20.75,48.25,9.17
20.75,48.5,9.16
20.75,48.75,9.16
20.75,49,9.15
20.75,49.25,9.15
20.75,49.5,9.14
