N,E,Z
16,-0.75,10.05
16,-0.5,10.05
16,-0.25,10.05
16,0,10.05
16,0.25,10.05
16,0.5,10.05
16,0.75,10.05
16,1,10.04
16,1.25,10.04
16,1.5,10.04
16,1.75,10.04
16,2,10.04
16,2.25,10.04
16,2.5,10.04
16,2.75,10.04
16,3,10.04
16,3.25,10.04
16,3.5,10.04
16,3.75,10.04
16,4,10.04
16,4.25,10.04
16,4.5,10.04
16,4.75,10.04
16,5,10.04
16,5.25,10.04
16,5.5,10.04
16,5.75,10.04
16,6,10.04
16,6.25,10.03
16,6.5,10.03
16,6.75,10.03
16,7,10.03
16,7.25,10.03
16,7.5,10.03
16,7.75,10.03
16,8,10.03
16,8.25,10.03
16,8.5,10.03
16,8.75,10.02
16,9,10.02
16,9.25,10.02
16,9.5,10.01
16,9.75,10.01
16,10,10.01
16,10.25,10
16,10.5,10
16,10.75,10
16,11,10
16,11.25,9.99
16,11.5,9.99
16,11.75,9.99
16,12,9.98
16,12.25,9.98
16,12.5,9.98
16,12.75,9.98
16,13,9.97
16,13.25,9.97
16,13.5,9.97
16,13.75,9.97
16,14,9.97
16,14.25,9.96
16,14.5,9.96
16,14.75,9.96
16,15,9.96
16,15.25,9.96
16,15.5,9.95
16,15.75,9.95
16,16,9.95
16,16.25,9.95
16,16.5,9.95
16,16.75,9.95
16,17,9.95
16,17.25,9.95
16,17.5,9.94
16,17.75,9.94
16,18,9.94
16,18.25,9.94
16,18.5,9.94
16,18.75,9.93
16,19,9.93
16,19.25,9.92
16,19.5,9.91
16,19.75,9.91
16,20,9.9
16,20.25,9.89
16,20.5,9.89
16,20.75,9.88
16,21,9.87
16,21.25,9.87
16,21.5,9.86
16,21.75,9.85
16,22,9.85
16,22.25,9.84
16,22.5,9.83
16,22.75,9.83
16,23,9.82
16,23.25,9.81
16,23.5,9.81
16,23.75,9.8
16,24,9.8
16,24.25,9.79
16,24.5,9.78
16,24.75,9.78
16,25,9.77
16,25.25,9.77
16,25.5,9.76
16,25.75,9.75
16,26,9.75
16,26.25,9.74
16,26.5,9.74
16,26.75,9.73
16,27,9.72
16,27.25,9.72
16,27.5,9.71
16,27.75,9.7
16,28,9.7
16,28.25,9.69
16,28.5,9.68
16,28.75,9.67
16,29,9.67
16,29.25,9.66
16,29.5,9.65
16,29.75,9.65
16,30,9.64
16,30.25,9.63
16,30.5,9.62
16,30.75,9.62
16,31,9.61
16,31.25,9.6
16,31.5,9.6
16,31.75,9.59
16,32,9.58
16,32.25,9.57
16,32.5,9.57
16,32.75,9.56
16,33,9.55
16,33.25,9.55
16,33.5,9.54
16,33.75,9.53
16,34,9.53
16,34.25,9.52
16,34.5,9.51
16,34.75,9.51
16,35,9.5
16,35.25,9.49
16,35.5,9.49
16,35.75,9.48
16,36,9.47
16,36.25,9.47
16,36.5,9.46
16,36.75,9.45
16,37,9.45
16,37.25,9.44
16,37.5,9.43
16,37.75,9.43
16,38,9.42
16,38.25,9.41
16,38.5,9.41
16,38.75,9.4
16,39,9.39
16,39.25,9.39
16,39.5,9.38
16,39.75,9.38
16,40,9.37
16,40.25,9.36
16,40.5,9.36
16,40.75,9.35
16,41,9.35
16,41.25,9.34
16,41.5,9.33
16,41.75,9.33
16,42,9.32
16,42.25,9.32
16,42.5,9.31
16,42.75,9.3
16,43,9.3
16,43.25,9.29
16,43.5,9.29
16,43.75,9.28
16,44,9.28
16,44.25,9.27
16,44.5,9.26
16,44.75,9.26
16,45,9.25
16,45.25,9.25
16,45.5,9.24
16,45.75,9.24
16,46,9.23
16,46.25,9.23
16,46.5,9.22
16,46.75,9.22
16,47,9.21
16,47.25,9.21
16,47.5,9.2
16,47.75,9.2
16,48,9.19
16,48.25,9.19
16,48.5,9.18
