N,E,Z
0,-0.5,10.03
0,-0.25,10.03
0,0,10.03
0,0.25,10.03
0,0.5,10.03
0,0.75,10.03
0,1,10.03
0,1.25,10.03
0,1.5,10.03
0,1.75,10.02
0,2,10.02
0,2.25,10.02
0,2.5,10.02
0,2.75,10.02
0,3,10.02
0,3.25,10.02
0,3.5,10.02
0,3.75,10.02
0,4,10.02
0,4.25,10.02
0,4.5,10.02
0,4.75,10.01
0,5,10.01
0,5.25,10.01
0,5.5,10.01
0,5.75,10.01
0,6,10.01
0,6.25,10.01
0,6.5,10.01
0,6.75,10.01
0,7,10.01
0,7.25,10.01
0,7.5,10.01
0,7.75,10.01
0,8,10.01
0,8.25,10.01
0,8.5,10.01
0,8.75,10.01
0,9,10.01
0,9.25,10.01
0,9.5,10.01
0,9.75,10.01
0,10,10.01
0,10.25,10.01
0,10.5,10
0,10.75,10
0,11,10
0,11.25,10
0,11.5,10
0,11.75,10
0,12,10
0,12.25,9.99
0,12.5,9.99
0,12.75,9.99
0,13,9.99
0,13.25,9.99
0,13.5,9.99
0,13.75,9.99
0,14,9.98
0,14.25,9.98
0,14.5,9.98
0,14.75,9.98
0,15,9.98
0,15.25,9.98
0,15.5,9.97
0,15.75,9.97
0,16,9.96
0,16.25,9.96
0,16.5,9.96
0,16.75,9.95
0,17,9.95
0,17.25,9.95
0,17.5,9.94
0,17.75,9.94
0,18,9.94
0,18.25,9.93
0,18.5,9.93
0,18.75,9.93
0,19,9.92
0,19.25,9.92
0,19.5,9.92
0,19.75,9.92
0,20,9.91
0,20.25,9.9
0,20.5,9.9
0,20.75,9.89
0,21,9.88
0,21.25,9.88
0,21.5,9.87
0,21.75,9.87
0,22,9.86
0,22.25,9.86
0,22.5,9.85
0,22.75,9.85
0,23,9.84
0,23.25,9.84
0,23.5,9.83
0,23.75,9.83
0,24,9.82
0,24.25,9.81
0,24.5,9.8
0,24.75,9.79
0,25,9.78
0,25.25,9.77
0,25.5,9.76
0,25.75,9.76
0,26,9.75
0,26.25,9.74
0,26.5,9.73
0,26.75,9.73
0,27,9.72
0,27.25,9.71
0,27.5,9.7
0,27.75,9.7
0,28,9.69
0,28.25,9.68
0,28.5,9.67
0,28.75,9.67
0,29,9.66
0,29.25,9.65
0,29.5,9.65
0,29.75,9.64
0,30,9.63
0,30.25,9.62
0,30.5,9.62
0,30.75,9.61
0,31,9.6
0,31.25,9.59
0,31.5,9.58
0,31.75,9.58
0,32,9.57
0,32.25,9.56
0,32.5,9.55
0,32.75,9.54
0,33,9.53
0,33.25,9.53
0,33.5,9.52
0,33.75,9.51
0,34,9.5
0,34.25,9.49
0,34.5,9.49
0,34.75,9.48
0,35,9.47
0,35.25,9.46
0,35.5,9.45
0,35.75,9.44
0,36,9.44
0,36.25,9.43
0,36.5,9.42
0,36.75,9.41
0,37,9.41
0,37.25,9.4
0,37.5,9.39
0,37.75,9.38
0,38,9.38
0,38.25,9.37
0,38.5,9.36
0,38.75,9.35
0,39,9.34
0,39.25,9.34
0,39.5,9.33
0,39.75,9.32
0,40,9.31
0,40.25,9.31
0,40.5,9.3
0,40.75,9.29
0,41,9.28
0,41.25,9.27
0,41.5,9.27
0,41.75,9.26
0,42,9.25
0,42.25,9.24
0,42.5,9.24
0,42.75,9.23
0,43,9.23
0,43.25,9.23
0,43.5,9.22
0,43.75,9.22
0,44,9.22
0,44.25,9.21
0,44.5,9.21
0,44.75,9.2
0,45,9.2
0,45.25,9.2
0,45.5,9.19
0,45.75,9.19
0,46,9.18
0,46.25,9.18
0,46.5,9.17
0,46.75,9.17
0,47,9.17
0,47.25,9.16
0,47.5,9.16
0,47.75,9.15
0,48,9.15
0,48.25,9.14
0,48.5,9.14
0,48.75,9.13
