N,E,Z
22,0,10.09
22,0.25,10.08
22,0.5,10.08
22,0.75,10.08
22,1,10.08
22,1.25,10.08
22,1.5,10.08
22,1.75,10.08
22,2,10.08
22,2.25,10.08
22,2.5,10.08
22,2.75,10.08
22,3,10.07
22,3.25,10.07
22,3.5,10.07
22,3.75,10.07
22,4,10.07
22,4.25,10.07
22,4.5,10.07
22,4.75,10.07
22,5,10.07
22,5.25,10.06
22,5.5,10.06
22,5.75,10.06
22,6,10.06
22,6.25,10.06
22,6.5,10.06
22,6.75,10.06
22,7,10.05
22,7.25,10.05
22,7.5,10.05
22,7.75,10.05
22,8,10.05
22,8.25,10.04
22,8.5,10.04
22,8.75,10.04
22,9,10.04
22,9.25,10.04
22,9.5,10.03
22,9.75,10.03
22,10,10.03
22,10.25,10.03
22,10.5,10.02
22,10.75,10.02
22,11,10.02
22,11.25,10.02
22,11.5,10.01
22,11.75,10.01
22,12,10.01
22,12.25,10.01
22,12.5,10
22,12.75,10
22,13,10
22,13.25,9.99
22,13.5,9.99
22,13.75,9.99
22,14,9.98
22,14.25,9.98
22,14.5,9.98
22,14.75,9.98
22,15,9.97
22,15.25,9.97
22,15.5,9.97
22,15.75,9.96
22,16,9.96
22,16.25,9.95
22,16.5,9.95
22,16.75,9.95
22,17,9.94
22,17.25,9.94
22,17.5,9.94
22,17.75,9.93
22,18,9.93
22,18.25,9.92
22,18.5,9.92
22,18.75,9.91
22,19,9.91
22,19.25,9.91
22,19.5,9.9
22,19.75,9.9
22,20,9.89
22,20.25,9.89
22,20.5,9.88
22,20.75,9.87
22,21,9.87
22,21.25,9.86
22,21.5,9.86
22,21.75,9.85
22,22,9.85
22,22.25,9.84
22,22.5,9.83
22,22.75,9.83
22,23,9.82
22,23.25,9.82
22,23.5,9.81
22,23.75,9.8
22,24,9.8
22,24.25,9.79
22,24.5,9.78
22,24.75,9.78
22,25,9.77
22,25.25,9.76
22,25.5,9.76
22,25.75,9.75
22,26,9.75
22,26.25,9.74
22,26.5,9.73
22,26.75,9.72
22,27,9.72
22,27.25,9.71
22,27.5,9.7
22,27.75,9.7
22,28,9.69
22,28.25,9.68
22,28.5,9.68
22,28.75,9.67
22,29,9.66
22,29.25,9.65
22,29.5,9.65
22,29.75,9.64
22,30,9.63
22,30.25,9.62
22,30.5,9.62
22,30.75,9.61
22,31,9.6
22,31.25,9.59
22,31.5,9.59
22,31.75,9.58
22,32,9.57
22,32.25,9.57
22,32.5,9.56
22,32.75,9.55
22,33,9.54
22,33.25,9.54
22,33.5,9.53
22,33.75,9.52
22,34,9.52
22,34.25,9.51
22,34.5,9.5
22,34.75,9.49
22,35,9.49
22,35.25,9.48
22,35.5,9.47
22,35.75,9.46
22,36,9.45
22,36.25,9.45
22,36.5,9.44
22,36.75,9.44
22,37,9.43
22,37.25,9.42
22,37.5,9.42
22,37.75,9.41
22,38,9.41
22,38.25,9.4
22,38.5,9.39
22,38.75,9.39
22,39,9.38
22,39.25,9.38
22,39.5,9.37
22,39.75,9.36
22,40,9.36
22,40.25,9.35
22,40.5,9.35
22,40.75,9.34
22,41,9.34
22,41.25,9.33
22,41.5,9.32
22,41.75,9.32
22,42,9.31
22,42.25,9.31
22,42.5,9.3
22,42.75,9.29
22,43,9.29
22,43.25,9.28
22,43.5,9.28
22,43.75,9.27
22,44,9.26
22,44.25,9.26
22,44.5,9.25
22,44.75,9.25
22,45,9.24
22,45.25,9.23
22,45.5,9.23
22,45.75,9.22
22,46,9.22
22,46.25,9.21
22,46.5,9.2
22,46.75,9.2
22,47,9.19
22,47.25,9.19
22,47.5,9.18
22,47.75,9.18
22,48,9.17
22,48.25,9.17
