N,E,Z
8,-0.5,10.02
8,-0.25,10.02
8,0,10.02
8,0.25,10.02
8,0.5,10.02
8,0.75,10.01
8,1,10.01
8,1.25,10.01
8,1.5,10.01
8,1.75,10.01
8,2,10.01
8,2.25,10.01
8,2.5,10
8,2.75,10
8,3,10
8,3.25,10
8,3.5,10
8,3.75,10
8,4,10
8,4.25,9.99
8,4.5,9.99
8,4.75,9.99
8,5,9.99
8,5.25,9.99
8,5.5,9.99
8,5.75,9.99
8,6,9.98
8,6.25,9.98
8,6.5,9.98
8,6.75,9.98
8,7,9.98
8,7.25,9.98
8,7.5,9.97
8,7.75,9.97
8,8,9.97
8,8.25,9.97
8,8.5,9.97
8,8.75,9.97
8,9,9.97
8,9.25,9.97
8,9.5,9.96
8,9.75,9.96
8,10,9.96
8,10.25,9.96
8,10.5,9.96
8,10.75,9.96
8,11,9.96
8,11.25,9.96
8,11.5,9.96
8,11.75,9.95
8,12,9.95
8,12.25,9.95
8,12.5,9.95
8,12.75,9.95
8,13,9.95
8,13.25,9.95
8,13.5,9.95
8,13.75,9.95
8,14,9.95
8,14.25,9.94
8,14.5,9.94
8,14.75,9.94
8,15,9.93
8,15.25,9.93
8,15.5,9.93
8,15.75,9.92
8,16,9.92
8,16.25,9.91
8,16.5,9.91
8,16.75,9.9
8,17,9.9
8,17.25,9.89
8,17.5,9.89
8,17.75,9.89
8,18,9.88
8,18.25,9.88
8,18.5,9.87
8,18.75,9.87
8,19,9.86
8,19.25,9.86
8,19.5,9.85
8,19.75,9.85
8,20,9.84
8,20.25,9.84
8,20.5,9.83
8,20.75,9.83
8,21,9.82
8,21.25,9.82
8,21.5,9.81
8,21.75,9.8
8,22,9.8
8,22.25,9.79
8,22.5,9.79
8,22.75,9.78
8,23,9.78
8,23.25,9.77
8,23.5,9.77
8,23.75,9.76
8,24,9.76
8,24.25,9.75
8,24.5,9.74
8,24.75,9.74
8,25,9.73
8,25.25,9.73
8,25.5,9.72
8,25.75,9.71
8,26,9.71
8,26.25,9.7
8,26.5,9.7
8,26.75,9.69
8,27,9.68
8,27.25,9.68
8,27.5,9.67
8,27.75,9.67
8,28,9.66
8,28.25,9.65
8,28.5,9.65
8,28.75,9.64
8,29,9.64
8,29.25,9.63
8,29.5,9.62
8,29.75,9.62
8,30,9.61
8,30.25,9.6
8,30.5,9.6
8,30.75,9.59
8,31,9.58
8,31.25,9.58
8,31.5,9.57
8,31.75,9.56
8,32,9.56
8,32.25,9.55
8,32.5,9.55
8,32.75,9.54
8,33,9.53
8,33.25,9.53
8,33.5,9.52
8,33.75,9.51
8,34,9.51
8,34.25,9.5
8,34.5,9.49
8,34.75,9.49
8,35,9.48
8,35.25,9.47
8,35.5,9.47
8,35.75,9.46
8,36,9.45
8,36.25,9.45
8,36.5,9.44
8,36.75,9.43
8,37,9.43
8,37.25,9.42
8,37.5,9.42
8,37.75,9.41
8,38,9.4
8,38.25,9.4
8,38.5,9.39
8,38.75,9.38
8,39,9.38
8,39.25,9.37
8,39.5,9.37
8,39.75,9.36
8,40,9.35
8,40.25,9.35
8,40.5,9.34
8,40.75,9.34
8,41,9.33
8,41.25,9.33
8,41.5,9.32
8,41.75,9.31
8,42,9.31
8,42.25,9.3
8,42.5,9.3
8,42.75,9.29
8,43,9.29
8,43.25,9.28
8,43.5,9.28
8,43.75,9.27
8,44,9.27
8,44.25,9.26
8,44.5,9.26
8,44.75,9.25
8,45,9.25
8,45.25,9.25
8,45.5,9.24
8,45.75,9.24
8,46,9.23
8,46.25,9.23
8,46.5,9.22
8,46.75,9.22
8,47,9.21
8,47.25,9.21
8,47.5,9.21
8,47.75,9.2
8,48,9.2
8,48.25,9.19
8,48.5,9.19
8,48.75,9.19
8,49,9.18
8,49.25,9.18
