N,E,Z
9,-0.75,10.02
9,-0.5,10.02
9,-0.25,10.02
9,0,10.02
9,0.25,10.02
9,0.5,10.02
9,0.75,10.01
9,1,10.01
9,1.25,10.01
9,1.5,10.01
9,1.75,10.01
9,2,10.01
9,2.25,10.01
9,2.5,10.01
9,2.75,10
9,3,10
9,3.25,10
9,3.5,10
9,3.75,10
9,4,10
9,4.25,10
9,4.5,9.99
9,4.75,9.99
9,5,9.99
9,5.25,9.99
9,5.5,9.99
9,5.75,9.99
9,6,9.99
9,6.25,9.98
9,6.5,9.98
9,6.75,9.98
9,7,9.98
9,7.25,9.98
9,7.5,9.98
9,7.75,9.98
9,8,9.97
9,8.25,9.97
9,8.5,9.97
9,8.75,9.97
9,9,9.97
9,9.25,9.97
9,9.5,9.96
9,9.75,9.96
9,10,9.96
9,10.25,9.96
9,10.5,9.96
9,10.75,9.96
9,11,9.96
9,11.25,9.95
9,11.5,9.95
9,11.75,9.95
9,12,9.95
9,12.25,9.95
9,12.5,9.95
9,12.75,9.95
9,13,9.94
9,13.25,9.94
9,13.5,9.94
9,13.75,9.94
9,14,9.94
9,14.25,9.94
9,14.5,9.93
9,14.75,9.93
9,15,9.93
9,15.25,9.92
9,15.5,9.92
9,15.75,9.92
9,16,9.91
9,16.25,9.91
9,16.5,9.91
9,16.75,9.9
9,17,9.9
9,17.25,9.89
9,17.5,9.89
9,17.75,9.88
9,18,9.88
9,18.25,9.88
9,18.5,9.87
9,18.75,9.87
9,19,9.86
9,19.25,9.86
9,19.5,9.85
9,19.75,9.85
9,20,9.84
9,20.25,9.84
9,20.5,9.83
9,20.75,9.83
9,21,9.82
9,21.25,9.82
9,21.5,9.81
9,21.75,9.81
9,22,9.8
9,22.25,9.79
9,22.5,9.79
9,22.75,9.78
9,23,9.78
9,23.25,9.77
9,23.5,9.77
9,23.75,9.76
9,24,9.76
9,24.25,9.75
9,24.5,9.74
9,24.75,9.74
9,25,9.73
9,25.25,9.73
9,25.5,9.72
9,25.75,9.71
9,26,9.71
9,26.25,9.7
9,26.5,9.7
9,26.75,9.69
9,27,9.69
9,27.25,9.68
9,27.5,9.67
9,27.75,9.67
9,28,9.66
9,28.25,9.65
9,28.5,9.65
9,28.75,9.64
9,29,9.64
9,29.25,9.63
9,29.5,9.62
9,29.75,9.62
9,30,9.61
9,30.25,9.6
9,30.5,9.6
9,30.75,9.59
9,31,9.59
9,31.25,9.58
9,31.5,9.57
9,31.75,9.57
9,32,9.56
9,32.25,9.55
9,32.5,9.55
9,32.75,9.54
9,33,9.53
9,33.25,9.53
9,33.5,9.52
9,33.75,9.51
9,34,9.51
9,34.25,9.5
9,34.5,9.5
9,34.75,9.49
9,35,9.48
9,35.25,9.48
9,35.5,9.47
9,35.75,9.46
9,36,9.46
9,36.25,9.45
9,36.5,9.44
9,36.75,9.44
9,37,9.43
9,37.25,9.43
9,37.5,9.42
9,37.75,9.41
9,38,9.41
9,38.25,9.4
9,38.5,9.39
9,38.75,9.39
9,39,9.38
9,39.25,9.38
9,39.5,9.37
9,39.75,9.36
9,40,9.36
9,40.25,9.35
9,40.5,9.35
9,40.75,9.34
9,41,9.34
9,41.25,9.33
9,41.5,9.32
9,41.75,9.32
9,42,9.31
9,42.25,9.31
9,42.5,9.3
9,42.75,9.3
9,43,9.29
9,43.25,9.29
9,43.5,9.28
9,43.75,9.28
9,44,9.27
9,44.25,9.27
9,44.5,9.26
9,44.75,9.26
9,45,9.25
9,45.25,9.25
9,45.5,9.24
9,45.75,9.24
9,46,9.23
9,46.25,9.23
9,46.5,9.23
9,46.75,9.22
9,47,9.22
9,47.25,9.21
9,47.5,9.21
9,47.75,9.2
9,48,9.2
9,48.25,9.2
9,48.5,9.19
9,48.75,9.19
9,49,9.18
