N,E,Z
21.25,0.5,10.08
21.25,0.75,10.08
21.25,1,10.08
21.25,1.25,10.08
21.25,1.5,10.07
21.25,1.75,10.07
21.25,2,10.07
21.25,2.25,10.07
21.25,2.5,10.07
21.25,2.75,10.07
21.25,3,10.07
21.25,3.25,10.07
21.25,3.5,10.07
21.25,3.75,10.07
21.25,4,10.07
21.25,4.25,10.06
21.25,4.5,10.06
21.25,4.75,10.06
21.25,5,10.06
21.25,5.25,10.06
21.25,5.5,10.06
21.25,5.75,10.06
21.25,6,10.06
21.25,6.25,10.05
21.25,6.5,10.05
21.25,6.75,10.05
21.25,7,10.05
21.25,7.25,10.05
21.25,7.5,10.05
21.25,7.75,10.04
21.25,8,10.04
21.25,8.25,10.04
21.25,8.5,10.04
21.25,8.75,10.04
21.25,9,10.03
21.25,9.25,10.03
21.25,9.5,10.03
21.25,9.75,10.03
21.25,10,10.03
21.25,10.25,10.02
21.25,10.5,10.02
21.25,10.75,10.02
21.25,11,10.02
21.25,11.25,10.01
21.25,11.5,10.01
21.25,11.75,10.01
21.25,12,10.01
21.25,12.25,10
21.25,12.5,10
21.25,12.75,10
21.25,13,9.99
21.25,13.25,9.99
21.25,13.5,9.99
21.25,13.75,9.99
21.25,14,9.98
21.25,14.25,9.98
21.25,14.5,9.98
21.25,14.75,9.97
21.25,15,9.97
21.25,15.25,9.97
21.25,15.5,9.96
21.25,15.75,9.96
21.25,16,9.96
21.25,16.25,9.95
21.25,16.5,9.95
21.25,16.75,9.95
21.25,17,9.94
21.25,17.25,9.94
21.25,17.5,9.94
21.25,17.75,9.93
21.25,18,9.93
21.25,18.25,9.92
21.25,18.5,9.92
21.25,18.75,9.92
21.25,19,9.91
21.25,19.25,9.91
21.25,19.5,9.9
21.25,19.75,9.9
21.25,20,9.89
21.25,20.25,9.89
21.25,20.5,9.88
21.25,20.75,9.88
21.25,21,9.87
21.25,21.25,9.86
21.25,21.5,9.86
21.25,21.75,9.85
21.25,22,9.85
21.25,22.25,9.84
21.25,22.5,9.83
21.25,22.75,9.83
21.25,23,9.82
21.25,23.25,9.82
21.25,23.5,9.81
21.25,23.75,9.8
21.25,24,9.8
21.25,24.25,9.79
21.25,24.5,9.79
21.25,24.75,9.78
21.25,25,9.77
21.25,25.25,9.77
21.25,25.5,9.76
21.25,25.75,9.75
21.25,26,9.75
21.25,26.25,9.74
21.25,26.5,9.73
21.25,26.75,9.73
21.25,27,9.72
21.25,27.25,9.71
21.25,27.5,9.71
21.25,27.75,9.7
21.25,28,9.69
21.25,28.25,9.69
21.25,28.5,9.68
21.25,28.75,9.67
21.25,29,9.66
21.25,29.25,9.66
21.25,29.5,9.65
21.25,29.75,9.64
21.25,30,9.63
21.25,30.25,9.63
21.25,30.5,9.62
21.25,30.75,9.61
21.25,31,9.6
21.25,31.25,9.6
21.25,31.5,9.59
21.25,31.75,9.58
21.25,32,9.57
21.25,32.25,9.57
21.25,32.5,9.56
21.25,32.75,9.55
21.25,33,9.55
21.25,33.25,9.54
21.25,33.5,9.53
21.25,33.75,9.52
21.25,34,9.52
21.25,34.25,9.51
21.25,34.5,9.5
21.25,34.75,9.49
21.25,35,9.49
21.25,35.25,9.48
21.25,35.5,9.47
21.25,35.75,9.46
21.25,36,9.45
21.25,36.25,9.45
21.25,36.5,9.44
21.25,36.75,9.44
21.25,37,9.43
21.25,37.25,9.43
21.25,37.5,9.42
21.25,37.75,9.41
21.25,38,9.41
21.25,38.25,9.4
21.25,38.5,9.4
21.25,38.75,9.39
21.25,39,9.38
21.25,39.25,9.38
21.25,39.5,9.37
21.25,39.75,9.37
21.25,40,9.36
21.25,40.25,9.35
21.25,40.5,9.35
21.25,40.75,9.34
21.25,41,9.34
21.25,41.25,9.33
21.25,41.5,9.33
21.25,41.75,9.32
21.25,42,9.31
21.25,42.25,9.31
21.25,42.5,9.3
21.25,42.75,9.3
21.25,43,9.29
21.25,43.25,9.28
21.25,43.5,9.28
21.25,43.75,9.27
21.25,44,9.26
21.25,44.25,9.26
21.25,44.5,9.25
21.25,44.75,9.25
21.25,45,9.24
21.25,45.25,9.23
21.25,45.5,9.23
21.25,45.75,9.22
21.25,46,9.22
21.25,46.25,9.21
21.25,46.5,9.21
21.25,46.75,9.2
21.25,47,9.19
21.25,47.25,9.19
21.25,47.5,9.18
21.25,47.75,9.18
21.25,48,9.17
21.25,48.25,9.17
21.25,48.5,9.16
21.25,48.75,9.16
21.25,49,9.15
21.25,49.25,9.15
21.25,49.5,9.14
