N,E,Z
8.75,0.75,10.01
8.75,1,10.01
8.75,1.25,10.01
8.75,1.5,10.01
8.75,1.75,10.01
8.75,2,10.01
8.75,2.25,10.01
8.75,2.5,10.01
8.75,2.75,10
8.75,3,10
8.75,3.25,10
8.75,3.5,10
8.75,3.75,10
8.75,4,10
8.75,4.25,10
8.75,4.5,9.99
8.75,4.75,9.99
8.75,5,9.99
8.75,5.25,9.99
8.75,5.5,9.99
8.75,5.75,9.99
8.75,6,9.98
8.75,6.25,9.98
8.75,6.5,9.98
8.75,6.75,9.98
8.75,7,9.98
8.75,7.25,9.98
8.75,7.5,9.98
8.75,7.75,9.97
8.75,8,9.97
8.75,8.25,9.97
8.75,8.5,9.97
8.75,8.75,9.97
8.75,9,9.97
8.75,9.25,9.97
8.75,9.5,9.96
8.75,9.75,9.96
8.75,10,9.96
8.75,10.25,9.96
8.75,10.5,9.96
8.75,10.75,9.96
8.75,11,9.96
8.75,11.25,9.96
8.75,11.5,9.95
8.75,11.75,9.95
8.75,12,9.95
8.75,12.25,9.95
8.75,12.5,9.95
8.75,12.75,9.95
8.75,13,9.95
8.75,13.25,9.94
8.75,13.5,9.94
8.75,13.75,9.94
8.75,14,9.94
8.75,14.25,9.94
8.75,14.5,9.93
8.75,14.75,9.93
8.75,15,9.93
8.75,15.25,9.93
8.75,15.5,9.92
8.75,15.75,9.92
8.75,16,9.91
8.75,16.25,9.91
8.75,16.5,9.91
8.75,16.75,9.9
8.75,17,9.9
8.75,17.25,9.89
8.75,17.5,9.89
8.75,17.75,9.88
8.75,18,9.88
8.75,18.25,9.87
8.75,18.5,9.87
8.75,18.75,9.87
8.75,19,9.86
8.75,19.25,9.86
8.75,19.5,9.85
8.75,19.75,9.85
8.75,20,9.84
8.75,20.25,9.84
8.75,20.5,9.83
8.75,20.75,9.83
8.75,21,9.82
8.75,21.25,9.82
8.75,21.5,9.81
8.75,21.75,9.8
8.75,22,9.8
8.75,22.25,9.79
8.75,22.5,9.79
8.75,22.75,9.78
8.75,23,9.78
8.75,23.25,9.77
8.75,23.5,9.77
8.75,23.75,9.76
8.75,24,9.76
8.75,24.25,9.75
8.75,24.5,9.74
8.75,24.75,9.74
8.75,25,9.73
8.75,25.25,9.73
8.75,25.5,9.72
8.75,25.75,9.71
8.75,26,9.71
8.75,26.25,9.7
8.75,26.5,9.7
8.75,26.75,9.69
8.75,27,9.68
8.75,27.25,9.68
8.75,27.5,9.67
8.75,27.75,9.67
8.75,28,9.66
8.75,28.25,9.65
8.75,28.5,9.65
8.75,28.75,9.64
8.75,29,9.64
8.75,29.25,9.63
8.75,29.5,9.62
8.75,29.75,9.62
8.75,30,9.61
8.75,30.25,9.6
8.75,30.5,9.6
8.75,30.75,9.59
8.75,31,9.59
8.75,31.25,9.58
8.75,31.5,9.57
8.75,31.75,9.57
8.75,32,9.56
8.75,32.25,9.55
8.75,32.5,9.55
8.75,32.75,9.54
8.75,33,9.53
8.75,33.25,9.53
8.75,33.5,9.52
8.75,33.75,9.51
8.75,34,9.51
8.75,34.25,9.5
8.75,34.5,9.49
8.75,34.75,9.49
8.75,35,9.48
8.75,35.25,9.48
8.75,35.5,9.47
8.75,35.75,9.46
8.75,36,9.46
8.75,36.25,9.45
8.75,36.5,9.44
8.75,36.75,9.44
8.75,37,9.43
8.75,37.25,9.42
8.75,37.5,9.42
8.75,37.75,9.41
8.75,38,9.41
8.75,38.25,9.4
8.75,38.5,9.39
8.75,38.75,9.39
8.75,39,9.38
8.75,39.25,9.38
8.75,39.5,9.37
8.75,39.75,9.36
8.75,40,9.36
8.75,40.25,9.35
8.75,40.5,9.35
8.75,40.75,9.34
8.75,41,9.33
8.75,41.25,9.33
8.75,41.5,9.32
8.75,41.75,9.32
8.75,42,9.31
8.75,42.25,9.31
8.75,42.5,9.3
8.75,42.75,9.3
8.75,43,9.29
8.75,43.25,9.29
8.75,43.5,9.28
8.75,43.75,9.28
8.75,44,9.27
8.75,44.25,9.27
8.75,44.5,9.26
8.75,44.75,9.26
8.75,45,9.25
8.75,45.25,9.25
8.75,45.5,9.24
8.75,45.75,9.24
8.75,46,9.23
8.75,46.25,9.23
8.75,46.5,9.23
8.75,46.75,9.22
8.75,47,9.22
8.75,47.25,9.21
8.75,47.5,9.21
8.75,47.75,9.2
8.75,48,9.2
8.75,48.25,9.2
8.75,48.5,9.19
8.75,48.75,9.19
8.75,49,9.18
8.75,49.25,9.18
8.75,49.5,9.18
8.75,49.75,9.17
8.75,50,9.17
