N,E,Z
1.75,0.75,10.03
1.75,1,10.02
1.75,1.25,10.02
1.75,1.5,10.02
1.75,1.75,10.02
1.75,2,10.02
1.75,2.25,10.02
1.75,2.5,10.02
1.75,2.75,10.02
1.75,3,10.02
1.75,3.25,10.01
1.75,3.5,10.01
1.75,3.75,10.01
1.75,4,10.01
1.75,4.25,10.01
1.75,4.5,10.01
1.75,4.75,10.01
1.75,5,10.01
1.75,5.25,10.01
1.75,5.5,10.01
1.75,5.75,10.01
1.75,6,10
1.75,6.25,10
1.75,6.5,10
1.75,6.75,10
1.75,7,10
1.75,7.25,10
1.75,7.5,10
1.75,7.75,10
1.75,8,10
1.75,8.25,10
1.75,8.5,10
1.75,8.75,10
1.75,9,10
1.75,9.25,10
1.75,9.5,10
1.75,9.75,10
1.75,10,10
1.75,10.25,9.99
1.75,10.5,9.99
1.75,10.75,9.99
1.75,11,9.99
1.75,11.25,9.99
1.75,11.5,9.99
1.75,11.75,9.99
1.75,12,9.99
1.75,12.25,9.98
1.75,12.5,9.98
1.75,12.75,9.98
1.75,13,9.98
1.75,13.25,9.98
1.75,13.5,9.98
1.75,13.75,9.98
1.75,14,9.97
1.75,14.25,9.97
1.75,14.5,9.97
1.75,14.75,9.97
1.75,15,9.96
1.75,15.25,9.96
1.75,15.5,9.96
1.75,15.75,9.96
1.75,16,9.95
1.75,16.25,9.95
1.75,16.5,9.95
1.75,16.75,9.94
1.75,17,9.94
1.75,17.25,9.93
1.75,17.5,9.93
1.75,17.75,9.93
1.75,18,9.92
1.75,18.25,9.92
1.75,18.5,9.91
1.75,18.75,9.91
1.75,19,9.91
1.75,19.25,9.9
1.75,19.5,9.9
1.75,19.75,9.89
1.75,20,9.89
1.75,20.25,9.88
1.75,20.5,9.88
1.75,20.75,9.87
1.75,21,9.87
1.75,21.25,9.86
1.75,21.5,9.86
1.75,21.75,9.85
1.75,22,9.85
1.75,22.25,9.84
1.75,22.5,9.83
1.75,22.75,9.83
1.75,23,9.82
1.75,23.25,9.82
1.75,23.5,9.81
1.75,23.75,9.8
1.75,24,9.8
1.75,24.25,9.79
1.75,24.5,9.78
1.75,24.75,9.78
1.75,25,9.77
1.75,25.25,9.76
1.75,25.5,9.75
1.75,25.75,9.75
1.75,26,9.74
1.75,26.25,9.73
1.75,26.5,9.72
1.75,26.75,9.72
1.75,27,9.71
1.75,27.25,9.7
1.75,27.5,9.7
1.75,27.75,9.69
1.75,28,9.68
1.75,28.25,9.67
1.75,28.5,9.67
1.75,28.75,9.66
1.75,29,9.65
1.75,29.25,9.65
1.75,29.5,9.64
1.75,29.75,9.63
1.75,30,9.62
1.75,30.25,9.62
1.75,30.5,9.61
1.75,30.75,9.6
1.75,31,9.59
1.75,31.25,9.59
1.75,31.5,9.58
1.75,31.75,9.57
1.75,32,9.56
1.75,32.25,9.56
1.75,32.5,9.55
1.75,32.75,9.54
1.75,33,9.53
1.75,33.25,9.52
1.75,33.5,9.52
1.75,33.75,9.51
1.75,34,9.5
1.75,34.25,9.49
1.75,34.5,9.49
1.75,34.75,9.48
1.75,35,9.47
1.75,35.25,9.46
1.75,35.5,9.46
1.75,35.75,9.45
1.75,36,9.44
1.75,36.25,9.43
1.75,36.5,9.42
1.75,36.75,9.42
1.75,37,9.41
1.75,37.25,9.4
1.75,37.5,9.39
1.75,37.75,9.39
1.75,38,9.38
1.75,38.25,9.37
1.75,38.5,9.36
1.75,38.75,9.36
1.75,39,9.35
1.75,39.25,9.34
1.75,39.5,9.33
1.75,39.75,9.33
1.75,40,9.32
1.75,40.25,9.31
1.75,40.5,9.31
1.75,40.75,9.3
1.75,41,9.29
1.75,41.25,9.28
1.75,41.5,9.28
1.75,41.75,9.27
1.75,42,9.27
1.75,42.25,9.26
1.75,42.5,9.25
1.75,42.75,9.25
1.75,43,9.24
1.75,43.25,9.24
1.75,43.5,9.24
1.75,43.75,9.23
1.75,44,9.23
1.75,44.25,9.22
1.75,44.5,9.22
1.75,44.75,9.21
1.75,45,9.21
1.75,45.25,9.2
1.75,45.5,9.2
1.75,45.75,9.2
1.75,46,9.19
1.75,46.25,9.19
1.75,46.5,9.18
1.75,46.75,9.18
1.75,47,9.17
1.75,47.25,9.17
1.75,47.5,9.17
1.75,47.75,9.16
1.75,48,9.16
1.75,48.25,9.15
1.75,48.5,9.15
1.75,48.75,9.15
1.75,49,9.14
1.75,49.25,9.14
1.75,49.5,9.14
1.75,49.75,9.13
