N,E,Z
19.25,0.5,10.06
19.25,0.75,10.06
19.25,1,10.06
19.25,1.25,10.06
19.25,1.5,10.06
19.25,1.75,10.06
19.25,2,10.06
19.25,2.25,10.06
19.25,2.5,10.06
19.25,2.75,10.06
19.25,3,10.06
19.25,3.25,10.06
19.25,3.5,10.06
19.25,3.75,10.06
19.25,4,10.05
19.25,4.25,10.05
19.25,4.5,10.05
19.25,4.75,10.05
19.25,5,10.05
19.25,5.25,10.05
19.25,5.5,10.05
19.25,5.75,10.05
19.25,6,10.05
19.25,6.25,10.05
19.25,6.5,10.05
19.25,6.75,10.04
19.25,7,10.04
19.25,7.25,10.04
19.25,7.5,10.04
19.25,7.75,10.04
19.25,8,10.04
19.25,8.25,10.03
19.25,8.5,10.03
19.25,8.75,10.03
19.25,9,10.03
19.25,9.25,10.03
19.25,9.5,10.02
19.25,9.75,10.02
19.25,10,10.02
19.25,10.25,10.02
19.25,10.5,10.01
19.25,10.75,10.01
19.25,11,10.01
19.25,11.25,10.01
19.25,11.5,10
19.25,11.75,10
19.25,12,10
19.25,12.25,10
19.25,12.5,9.99
19.25,12.75,9.99
19.25,13,9.99
19.25,13.25,9.99
19.25,13.5,9.98
19.25,13.75,9.98
19.25,14,9.98
19.25,14.25,9.98
19.25,14.5,9.97
19.25,14.75,9.97
19.25,15,9.97
19.25,15.25,9.97
19.25,15.5,9.96
19.25,15.75,9.96
19.25,16,9.96
19.25,16.25,9.95
19.25,16.5,9.95
19.25,16.75,9.95
19.25,17,9.95
19.25,17.25,9.94
19.25,17.5,9.94
19.25,17.75,9.94
19.25,18,9.93
19.25,18.25,9.93
19.25,18.5,9.92
19.25,18.75,9.92
19.25,19,9.92
19.25,19.25,9.91
19.25,19.5,9.91
19.25,19.75,9.9
19.25,20,9.9
19.25,20.25,9.89
19.25,20.5,9.88
19.25,20.75,9.88
19.25,21,9.87
19.25,21.25,9.87
19.25,21.5,9.86
19.25,21.75,9.85
19.25,22,9.85
19.25,22.25,9.84
19.25,22.5,9.84
19.25,22.75,9.83
19.25,23,9.82
19.25,23.25,9.82
19.25,23.5,9.81
19.25,23.75,9.81
19.25,24,9.8
19.25,24.25,9.79
19.25,24.5,9.79
19.25,24.75,9.78
19.25,25,9.78
19.25,25.25,9.77
19.25,25.5,9.76
19.25,25.75,9.76
19.25,26,9.75
19.25,26.25,9.75
19.25,26.5,9.74
19.25,26.75,9.73
19.25,27,9.73
19.25,27.25,9.72
19.25,27.5,9.71
19.25,27.75,9.71
19.25,28,9.7
19.25,28.25,9.69
19.25,28.5,9.68
19.25,28.75,9.68
19.25,29,9.67
19.25,29.25,9.66
19.25,29.5,9.65
19.25,29.75,9.65
19.25,30,9.64
19.25,30.25,9.63
19.25,30.5,9.63
19.25,30.75,9.62
19.25,31,9.61
19.25,31.25,9.6
19.25,31.5,9.6
19.25,31.75,9.59
19.25,32,9.58
19.25,32.25,9.58
19.25,32.5,9.57
19.25,32.75,9.56
19.25,33,9.55
19.25,33.25,9.55
19.25,33.5,9.54
19.25,33.75,9.53
19.25,34,9.52
19.25,34.25,9.52
19.25,34.5,9.51
19.25,34.75,9.5
19.25,35,9.5
19.25,35.25,9.49
19.25,35.5,9.48
19.25,35.75,9.47
19.25,36,9.47
19.25,36.25,9.46
19.25,36.5,9.45
19.25,36.75,9.45
19.25,37,9.44
19.25,37.25,9.43
19.25,37.5,9.43
19.25,37.75,9.42
19.25,38,9.41
19.25,38.25,9.41
19.25,38.5,9.4
19.25,38.75,9.4
19.25,39,9.39
19.25,39.25,9.38
19.25,39.5,9.38
19.25,39.75,9.37
19.25,40,9.37
19.25,40.25,9.36
19.25,40.5,9.36
19.25,40.75,9.35
19.25,41,9.34
19.25,41.25,9.34
19.25,41.5,9.33
19.25,41.75,9.33
19.25,42,9.32
19.25,42.25,9.31
19.25,42.5,9.31
19.25,42.75,9.3
19.25,43,9.29
19.25,43.25,9.29
19.25,43.5,9.28
19.25,43.75,9.28
19.25,44,9.27
19.25,44.25,9.26
19.25,44.5,9.26
19.25,44.75,9.25
19.25,45,9.25
19.25,45.25,9.24
19.25,45.5,9.23
19.25,45.75,9.23
19.25,46,9.22
19.25,46.25,9.22
19.25,46.5,9.21
19.25,46.75,9.2
19.25,47,9.2
19.25,47.25,9.19
19.25,47.5,9.19
19.25,47.75,9.18
19.25,48,9.18
19.25,48.25,9.17
19.25,48.5,9.17
19.25,48.75,9.16
19.25,49,9.16
19.25,49.25,9.15
19.25,49.5,9.15
