N,E,Z
6,-0.5,10.02
6,-0.25,10.02
6,0,10.02
6,0.25,10.02
6,0.5,10.02
6,0.75,10.02
6,1,10.02
6,1.25,10.01
6,1.5,10.01
6,1.75,10.01
6,2,10.01
6,2.25,10.01
6,2.5,10.01
6,2.75,10.01
6,3,10
6,3.25,10
6,3.5,10
6,3.75,10
6,4,10
6,4.25,10
6,4.5,9.99
6,4.75,9.99
6,5,9.99
6,5.25,9.99
6,5.5,9.99
6,5.75,9.99
6,6,9.99
6,6.25,9.98
6,6.5,9.98
6,6.75,9.98
6,7,9.98
6,7.25,9.98
6,7.5,9.98
6,7.75,9.98
6,8,9.98
6,8.25,9.97
6,8.5,9.97
6,8.75,9.97
6,9,9.97
6,9.25,9.97
6,9.5,9.97
6,9.75,9.97
6,10,9.97
6,10.25,9.97
6,10.5,9.97
6,10.75,9.97
6,11,9.97
6,11.25,9.96
6,11.5,9.96
6,11.75,9.96
6,12,9.96
6,12.25,9.96
6,12.5,9.96
6,12.75,9.96
6,13,9.96
6,13.25,9.96
6,13.5,9.96
6,13.75,9.96
6,14,9.96
6,14.25,9.96
6,14.5,9.96
6,14.75,9.95
6,15,9.95
6,15.25,9.94
6,15.5,9.94
6,15.75,9.93
6,16,9.93
6,16.25,9.92
6,16.5,9.92
6,16.75,9.91
6,17,9.91
6,17.25,9.9
6,17.5,9.9
6,17.75,9.89
6,18,9.89
6,18.25,9.88
6,18.5,9.88
6,18.75,9.87
6,19,9.87
6,19.25,9.86
6,19.5,9.86
6,19.75,9.85
6,20,9.85
6,20.25,9.84
6,20.5,9.84
6,20.75,9.83
6,21,9.83
6,21.25,9.82
6,21.5,9.82
6,21.75,9.81
6,22,9.81
6,22.25,9.8
6,22.5,9.8
6,22.75,9.79
6,23,9.78
6,23.25,9.78
6,23.5,9.77
6,23.75,9.77
6,24,9.76
6,24.25,9.75
6,24.5,9.75
6,24.75,9.74
6,25,9.74
6,25.25,9.73
6,25.5,9.72
6,25.75,9.72
6,26,9.71
6,26.25,9.71
6,26.5,9.7
6,26.75,9.69
6,27,9.69
6,27.25,9.68
6,27.5,9.68
6,27.75,9.67
6,28,9.66
6,28.25,9.66
6,28.5,9.65
6,28.75,9.64
6,29,9.64
6,29.25,9.63
6,29.5,9.62
6,29.75,9.62
6,30,9.61
6,30.25,9.6
6,30.5,9.6
6,30.75,9.59
6,31,9.58
6,31.25,9.58
6,31.5,9.57
6,31.75,9.56
6,32,9.56
6,32.25,9.55
6,32.5,9.54
6,32.75,9.54
6,33,9.53
6,33.25,9.52
6,33.5,9.52
6,33.75,9.51
6,34,9.5
6,34.25,9.5
6,34.5,9.49
6,34.75,9.48
6,35,9.48
6,35.25,9.47
6,35.5,9.46
6,35.75,9.46
6,36,9.45
6,36.25,9.44
6,36.5,9.44
6,36.75,9.43
6,37,9.42
6,37.25,9.42
6,37.5,9.41
6,37.75,9.4
6,38,9.4
6,38.25,9.39
6,38.5,9.38
6,38.75,9.38
6,39,9.37
6,39.25,9.36
6,39.5,9.36
6,39.75,9.35
6,40,9.35
6,40.25,9.34
6,40.5,9.33
6,40.75,9.33
6,41,9.32
6,41.25,9.32
6,41.5,9.31
6,41.75,9.3
6,42,9.3
6,42.25,9.29
6,42.5,9.29
6,42.75,9.28
6,43,9.28
6,43.25,9.27
6,43.5,9.27
6,43.75,9.26
6,44,9.26
6,44.25,9.25
6,44.5,9.25
6,44.75,9.24
6,45,9.24
6,45.25,9.23
6,45.5,9.23
6,45.75,9.23
6,46,9.22
6,46.25,9.22
6,46.5,9.21
6,46.75,9.21
6,47,9.21
6,47.25,9.2
6,47.5,9.2
6,47.75,9.19
6,48,9.19
6,48.25,9.19
6,48.5,9.18
6,48.75,9.18
6,49,9.18
6,49.25,9.17
6,49.5,9.17
