N,E,Z
19.5,-0.25,10.07
19.5,0,10.07
19.5,0.25,10.07
19.5,0.5,10.06
19.5,0.75,10.06
19.5,1,10.06
19.5,1.25,10.06
19.5,1.5,10.06
19.5,1.75,10.06
19.5,2,10.06
19.5,2.25,10.06
19.5,2.5,10.06
19.5,2.75,10.06
19.5,3,10.06
19.5,3.25,10.06
19.5,3.5,10.06
19.5,3.75,10.06
19.5,4,10.06
19.5,4.25,10.06
19.5,4.5,10.05
19.5,4.75,10.05
19.5,5,10.05
19.5,5.25,10.05
19.5,5.5,10.05
19.5,5.75,10.05
19.5,6,10.05
19.5,6.25,10.05
19.5,6.5,10.05
19.5,6.75,10.04
19.5,7,10.04
19.5,7.25,10.04
19.5,7.5,10.04
19.5,7.75,10.04
19.5,8,10.04
19.5,8.25,10.03
19.5,8.5,10.03
19.5,8.75,10.03
19.5,9,10.03
19.5,9.25,10.03
19.5,9.5,10.02
19.5,9.75,10.02
19.5,10,10.02
19.5,10.25,10.02
19.5,10.5,10.01
19.5,10.75,10.01
19.5,11,10.01
19.5,11.25,10.01
19.5,11.5,10
19.5,11.75,10
19.5,12,10
19.5,12.25,10
19.5,12.5,9.99
19.5,12.75,9.99
19.5,13,9.99
19.5,13.25,9.99
19.5,13.5,9.98
19.5,13.75,9.98
19.5,14,9.98
19.5,14.25,9.98
19.5,14.5,9.97
19.5,14.75,9.97
19.5,15,9.97
19.5,15.25,9.97
19.5,15.5,9.96
19.5,15.75,9.96
19.5,16,9.96
19.5,16.25,9.95
19.5,16.5,9.95
19.5,16.75,9.95
19.5,17,9.95
19.5,17.25,9.94
19.5,17.5,9.94
19.5,17.75,9.94
19.5,18,9.93
19.5,18.25,9.93
19.5,18.5,9.92
19.5,18.75,9.92
19.5,19,9.91
19.5,19.25,9.91
19.5,19.5,9.9
19.5,19.75,9.9
19.5,20,9.89
19.5,20.25,9.89
19.5,20.5,9.88
19.5,20.75,9.88
19.5,21,9.87
19.5,21.25,9.87
19.5,21.5,9.86
19.5,21.75,9.85
19.5,22,9.85
19.5,22.25,9.84
19.5,22.5,9.84
19.5,22.75,9.83
19.5,23,9.82
19.5,23.25,9.82
19.5,23.5,9.81
19.5,23.75,9.81
19.5,24,9.8
19.5,24.25,9.79
19.5,24.5,9.79
19.5,24.75,9.78
19.5,25,9.78
19.5,25.25,9.77
19.5,25.5,9.76
19.5,25.75,9.76
19.5,26,9.75
19.5,26.25,9.75
19.5,26.5,9.74
19.5,26.75,9.73
19.5,27,9.73
19.5,27.25,9.72
19.5,27.5,9.71
19.5,27.75,9.71
19.5,28,9.7
19.5,28.25,9.69
19.5,28.5,9.68
19.5,28.75,9.68
19.5,29,9.67
19.5,29.25,9.66
19.5,29.5,9.65
19.5,29.75,9.65
19.5,30,9.64
19.5,30.25,9.63
19.5,30.5,9.62
19.5,30.75,9.62
19.5,31,9.61
19.5,31.25,9.6
19.5,31.5,9.6
19.5,31.75,9.59
19.5,32,9.58
19.5,32.25,9.57
19.5,32.5,9.57
19.5,32.75,9.56
19.5,33,9.55
19.5,33.25,9.55
19.5,33.5,9.54
19.5,33.75,9.53
19.5,34,9.52
19.5,34.25,9.52
19.5,34.5,9.51
19.5,34.75,9.5
19.5,35,9.49
19.5,35.25,9.49
19.5,35.5,9.48
19.5,35.75,9.47
19.5,36,9.47
19.5,36.25,9.46
19.5,36.5,9.45
19.5,36.75,9.45
19.5,37,9.44
19.5,37.25,9.43
19.5,37.5,9.43
19.5,37.75,9.42
19.5,38,9.41
19.5,38.25,9.41
19.5,38.5,9.4
19.5,38.75,9.4
19.5,39,9.39
19.5,39.25,9.38
19.5,39.5,9.38
19.5,39.75,9.37
19.5,40,9.37
19.5,40.25,9.36
19.5,40.5,9.35
19.5,40.75,9.35
19.5,41,9.34
19.5,41.25,9.34
19.5,41.5,9.33
19.5,41.75,9.32
19.5,42,9.32
19.5,42.25,9.31
19.5,42.5,9.31
19.5,42.75,9.3
19.5,43,9.29
19.5,43.25,9.29
19.5,43.5,9.28
19.5,43.75,9.27
19.5,44,9.27
19.5,44.25,9.26
19.5,44.5,9.26
19.5,44.75,9.25
19.5,45,9.24
19.5,45.25,9.24
19.5,45.5,9.23
19.5,45.75,9.23
19.5,46,9.22
19.5,46.25,9.22
19.5,46.5,9.21
19.5,46.75,9.2
19.5,47,9.2
19.5,47.25,9.19
19.5,47.5,9.19
19.5,47.75,9.18
