N,E,Z
12,-1,10.03
12,-0.75,10.03
12,-0.5,10.03
12,-0.25,10.03
12,0,10.03
12,0.25,10.03
12,0.5,10.02
12,0.75,10.02
12,1,10.02
12,1.25,10.02
12,1.5,10.02
12,1.75,10.02
12,2,10.02
12,2.25,10.02
12,2.5,10.02
12,2.75,10.02
12,3,10.02
12,3.25,10.01
12,3.5,10.01
12,3.75,10.01
12,4,10.01
12,4.25,10.01
12,4.5,10.01
12,4.75,10.01
12,5,10.01
12,5.25,10.01
12,5.5,10.01
12,5.75,10.01
12,6,10
12,6.25,10
12,6.5,10
12,6.75,10
12,7,10
12,7.25,10
12,7.5,10
12,7.75,9.99
12,8,9.99
12,8.25,9.99
12,8.5,9.99
12,8.75,9.99
12,9,9.98
12,9.25,9.98
12,9.5,9.98
12,9.75,9.98
12,10,9.98
12,10.25,9.97
12,10.5,9.97
12,10.75,9.97
12,11,9.97
12,11.25,9.96
12,11.5,9.96
12,11.75,9.96
12,12,9.96
12,12.25,9.95
12,12.5,9.95
12,12.75,9.95
12,13,9.95
12,13.25,9.95
12,13.5,9.94
12,13.75,9.94
12,14,9.94
12,14.25,9.94
12,14.5,9.93
12,14.75,9.93
12,15,9.93
12,15.25,9.93
12,15.5,9.92
12,15.75,9.92
12,16,9.92
12,16.25,9.92
12,16.5,9.91
12,16.75,9.91
12,17,9.91
12,17.25,9.91
12,17.5,9.9
12,17.75,9.9
12,18,9.9
12,18.25,9.89
12,18.5,9.89
12,18.75,9.88
12,19,9.88
12,19.25,9.87
12,19.5,9.87
12,19.75,9.87
12,20,9.86
12,20.25,9.86
12,20.5,9.85
12,20.75,9.84
12,21,9.84
12,21.25,9.83
12,21.5,9.83
12,21.75,9.82
12,22,9.82
12,22.25,9.81
12,22.5,9.8
12,22.75,9.8
12,23,9.79
12,23.25,9.79
12,23.5,9.78
12,23.75,9.77
12,24,9.77
12,24.25,9.76
12,24.5,9.76
12,24.75,9.75
12,25,9.74
12,25.25,9.74
12,25.5,9.73
12,25.75,9.73
12,26,9.72
12,26.25,9.71
12,26.5,9.71
12,26.75,9.7
12,27,9.7
12,27.25,9.69
12,27.5,9.68
12,27.75,9.68
12,28,9.67
12,28.25,9.67
12,28.5,9.66
12,28.75,9.65
12,29,9.65
12,29.25,9.64
12,29.5,9.63
12,29.75,9.63
12,30,9.62
12,30.25,9.61
12,30.5,9.61
12,30.75,9.6
12,31,9.59
12,31.25,9.59
12,31.5,9.58
12,31.75,9.57
12,32,9.57
12,32.25,9.56
12,32.5,9.56
12,32.75,9.55
12,33,9.54
12,33.25,9.54
12,33.5,9.53
12,33.75,9.52
12,34,9.52
12,34.25,9.51
12,34.5,9.5
12,34.75,9.5
12,35,9.49
12,35.25,9.48
12,35.5,9.48
12,35.75,9.47
12,36,9.46
12,36.25,9.46
12,36.5,9.45
12,36.75,9.45
12,37,9.44
12,37.25,9.43
12,37.5,9.43
12,37.75,9.42
12,38,9.41
12,38.25,9.41
12,38.5,9.4
12,38.75,9.4
12,39,9.39
12,39.25,9.38
12,39.5,9.38
12,39.75,9.37
12,40,9.37
12,40.25,9.36
12,40.5,9.35
12,40.75,9.35
12,41,9.34
12,41.25,9.34
12,41.5,9.33
12,41.75,9.33
12,42,9.32
12,42.25,9.31
12,42.5,9.31
12,42.75,9.3
12,43,9.3
12,43.25,9.29
12,43.5,9.29
12,43.75,9.28
12,44,9.28
12,44.25,9.27
12,44.5,9.27
12,44.75,9.26
12,45,9.26
12,45.25,9.25
12,45.5,9.25
12,45.75,9.24
12,46,9.24
12,46.25,9.23
12,46.5,9.23
12,46.75,9.22
12,47,9.22
12,47.25,9.21
12,47.5,9.21
12,47.75,9.21
12,48,9.2
12,48.25,9.2
12,48.5,9.19
