N,E,Z
13.25,0,10.04
13.25,0.25,10.04
13.25,0.5,10.03
13.25,0.75,10.03
13.25,1,10.03
13.25,1.25,10.03
13.25,1.5,10.03
13.25,1.75,10.03
13.25,2,10.03
13.25,2.25,10.03
13.25,2.5,10.03
13.25,2.75,10.02
13.25,3,10.02
13.25,3.25,10.02
13.25,3.5,10.02
13.25,3.75,10.02
13.25,4,10.02
13.25,4.25,10.02
13.25,4.5,10.02
13.25,4.75,10.02
13.25,5,10.02
13.25,5.25,10.02
13.25,5.5,10.02
13.25,5.75,10.02
13.25,6,10.02
13.25,6.25,10.02
13.25,6.5,10.01
13.25,6.75,10.01
13.25,7,10.01
13.25,7.25,10.01
13.25,7.5,10.01
13.25,7.75,10.01
13.25,8,10.01
13.25,8.25,10
13.25,8.5,10
13.25,8.75,10
13.25,9,10
13.25,9.25,9.99
13.25,9.5,9.99
13.25,9.75,9.99
13.25,10,9.99
13.25,10.25,9.98
13.25,10.5,9.98
13.25,10.75,9.98
13.25,11,9.98
13.25,11.25,9.97
13.25,11.5,9.97
13.25,11.75,9.97
13.25,12,9.96
13.25,12.25,9.96
13.25,12.5,9.96
13.25,12.75,9.96
13.25,13,9.95
13.25,13.25,9.95
13.25,13.5,9.95
13.25,13.75,9.95
13.25,14,9.95
13.25,14.25,9.94
13.25,14.5,9.94
13.25,14.75,9.94
13.25,15,9.94
13.25,15.25,9.94
13.25,15.5,9.93
13.25,15.75,9.93
13.25,16,9.93
13.25,16.25,9.93
13.25,16.5,9.92
13.25,16.75,9.92
13.25,17,9.92
13.25,17.25,9.92
13.25,17.5,9.91
13.25,17.75,9.91
13.25,18,9.91
13.25,18.25,9.91
13.25,18.5,9.9
13.25,18.75,9.9
13.25,19,9.9
13.25,19.25,9.89
13.25,19.5,9.89
13.25,19.75,9.88
13.25,20,9.88
13.25,20.25,9.87
13.25,20.5,9.86
13.25,20.75,9.86
13.25,21,9.85
13.25,21.25,9.85
13.25,21.5,9.84
13.25,21.75,9.83
13.25,22,9.83
13.25,22.25,9.82
13.25,22.5,9.81
13.25,22.75,9.81
13.25,23,9.8
13.25,23.25,9.8
13.25,23.5,9.79
13.25,23.75,9.78
13.25,24,9.78
13.25,24.25,9.77
13.25,24.5,9.77
13.25,24.75,9.76
13.25,25,9.75
13.25,25.25,9.75
13.25,25.5,9.74
13.25,25.75,9.73
13.25,26,9.73
13.25,26.25,9.72
13.25,26.5,9.72
13.25,26.75,9.71
13.25,27,9.7
13.25,27.25,9.7
13.25,27.5,9.69
13.25,27.75,9.69
13.25,28,9.68
13.25,28.25,9.67
13.25,28.5,9.67
13.25,28.75,9.66
13.25,29,9.65
13.25,29.25,9.65
13.25,29.5,9.64
13.25,29.75,9.63
13.25,30,9.63
13.25,30.25,9.62
13.25,30.5,9.61
13.25,30.75,9.61
13.25,31,9.6
13.25,31.25,9.59
13.25,31.5,9.59
13.25,31.75,9.58
13.25,32,9.57
13.25,32.25,9.57
13.25,32.5,9.56
13.25,32.75,9.55
13.25,33,9.55
13.25,33.25,9.54
13.25,33.5,9.53
13.25,33.75,9.53
13.25,34,9.52
13.25,34.25,9.51
13.25,34.5,9.51
13.25,34.75,9.5
13.25,35,9.49
13.25,35.25,9.49
13.25,35.5,9.48
13.25,35.75,9.47
13.25,36,9.47
13.25,36.25,9.46
13.25,36.5,9.45
13.25,36.75,9.45
13.25,37,9.44
13.25,37.25,9.44
13.25,37.5,9.43
13.25,37.75,9.42
13.25,38,9.42
13.25,38.25,9.41
13.25,38.5,9.4
13.25,38.75,9.4
13.25,39,9.39
13.25,39.25,9.39
13.25,39.5,9.38
13.25,39.75,9.37
13.25,40,9.37
13.25,40.25,9.36
13.25,40.5,9.36
13.25,40.75,9.35
13.25,41,9.34
13.25,41.25,9.34
13.25,41.5,9.33
13.25,41.75,9.33
13.25,42,9.32
13.25,42.25,9.32
13.25,42.5,9.31
13.25,42.75,9.3
13.25,43,9.3
13.25,43.25,9.29
13.25,43.5,9.29
13.25,43.75,9.28
13.25,44,9.28
13.25,44.25,9.27
13.25,44.5,9.27
13.25,44.75,9.26
13.25,45,9.26
13.25,45.25,9.25
13.25,45.5,9.25
13.25,45.75,9.24
13.25,46,9.24
13.25,46.25,9.23
13.25,46.5,9.23
13.25,46.75,9.22
13.25,47,9.22
13.25,47.25,9.21
13.25,47.5,9.21
13.25,47.75,9.2
13.25,48,9.2
13.25,48.25,9.19
13.25,48.5,9.19
13.25,48.75,9.19
13.25,49,9.18
13.25,49.25,9.18
13.25,49.5,9.17
