N,E,Z
6.75,0.75,10.02
6.75,1,10.02
6.75,1.25,10.01
6.75,1.5,10.01
6.75,1.75,10.01
6.75,2,10.01
6.75,2.25,10.01
6.75,2.5,10.01
6.75,2.75,10
6.75,3,10
6.75,3.25,10
6.75,3.5,10
6.75,3.75,10
6.75,4,10
6.75,4.25,9.99
6.75,4.5,9.99
6.75,4.75,9.99
6.75,5,9.99
6.75,5.25,9.99
6.75,5.5,9.99
6.75,5.75,9.99
6.75,6,9.98
6.75,6.25,9.98
6.75,6.5,9.98
6.75,6.75,9.98
6.75,7,9.98
6.75,7.25,9.98
6.75,7.5,9.98
6.75,7.75,9.97
6.75,8,9.97
6.75,8.25,9.97
6.75,8.5,9.97
6.75,8.75,9.97
6.75,9,9.97
6.75,9.25,9.97
6.75,9.5,9.97
6.75,9.75,9.97
6.75,10,9.96
6.75,10.25,9.96
6.75,10.5,9.96
6.75,10.75,9.96
6.75,11,9.96
6.75,11.25,9.96
6.75,11.5,9.96
6.75,11.75,9.96
6.75,12,9.96
6.75,12.25,9.96
6.75,12.5,9.96
6.75,12.75,9.96
6.75,13,9.96
6.75,13.25,9.96
6.75,13.5,9.96
6.75,13.75,9.96
6.75,14,9.96
6.75,14.25,9.96
6.75,14.5,9.96
6.75,14.75,9.95
6.75,15,9.95
6.75,15.25,9.94
6.75,15.5,9.94
6.75,15.75,9.93
6.75,16,9.93
6.75,16.25,9.92
6.75,16.5,9.92
6.75,16.75,9.91
6.75,17,9.9
6.75,17.25,9.9
6.75,17.5,9.89
6.75,17.75,9.89
6.75,18,9.88
6.75,18.25,9.88
6.75,18.5,9.87
6.75,18.75,9.87
6.75,19,9.86
6.75,19.25,9.86
6.75,19.5,9.85
6.75,19.75,9.85
6.75,20,9.84
6.75,20.25,9.84
6.75,20.5,9.83
6.75,20.75,9.83
6.75,21,9.82
6.75,21.25,9.82
6.75,21.5,9.81
6.75,21.75,9.81
6.75,22,9.8
6.75,22.25,9.8
6.75,22.5,9.79
6.75,22.75,9.79
6.75,23,9.78
6.75,23.25,9.77
6.75,23.5,9.77
6.75,23.75,9.76
6.75,24,9.76
6.75,24.25,9.75
6.75,24.5,9.75
6.75,24.75,9.74
6.75,25,9.73
6.75,25.25,9.73
6.75,25.5,9.72
6.75,25.75,9.72
6.75,26,9.71
6.75,26.25,9.7
6.75,26.5,9.7
6.75,26.75,9.69
6.75,27,9.69
6.75,27.25,9.68
6.75,27.5,9.67
6.75,27.75,9.67
6.75,28,9.66
6.75,28.25,9.65
6.75,28.5,9.65
6.75,28.75,9.64
6.75,29,9.64
6.75,29.25,9.63
6.75,29.5,9.62
6.75,29.75,9.62
6.75,30,9.61
6.75,30.25,9.6
6.75,30.5,9.6
6.75,30.75,9.59
6.75,31,9.58
6.75,31.25,9.58
6.75,31.5,9.57
6.75,31.75,9.56
6.75,32,9.56
6.75,32.25,9.55
6.75,32.5,9.54
6.75,32.75,9.54
6.75,33,9.53
6.75,33.25,9.52
6.75,33.5,9.52
6.75,33.75,9.51
6.75,34,9.5
6.75,34.25,9.5
6.75,34.5,9.49
6.75,34.75,9.48
6.75,35,9.48
6.75,35.25,9.47
6.75,35.5,9.46
6.75,35.75,9.46
6.75,36,9.45
6.75,36.25,9.44
6.75,36.5,9.44
6.75,36.75,9.43
6.75,37,9.42
6.75,37.25,9.42
6.75,37.5,9.41
6.75,37.75,9.41
6.75,38,9.4
6.75,38.25,9.39
6.75,38.5,9.39
6.75,38.75,9.38
6.75,39,9.37
6.75,39.25,9.37
6.75,39.5,9.36
6.75,39.75,9.36
6.75,40,9.35
6.75,40.25,9.34
6.75,40.5,9.34
6.75,40.75,9.33
6.75,41,9.33
6.75,41.25,9.32
6.75,41.5,9.31
6.75,41.75,9.31
6.75,42,9.3
6.75,42.25,9.3
6.75,42.5,9.29
6.75,42.75,9.29
6.75,43,9.28
6.75,43.25,9.28
6.75,43.5,9.27
6.75,43.75,9.27
6.75,44,9.26
6.75,44.25,9.26
6.75,44.5,9.25
6.75,44.75,9.25
6.75,45,9.24
6.75,45.25,9.24
6.75,45.5,9.23
6.75,45.75,9.23
6.75,46,9.23
6.75,46.25,9.22
6.75,46.5,9.22
6.75,46.75,9.21
6.75,47,9.21
6.75,47.25,9.21
6.75,47.5,9.2
6.75,47.75,9.2
6.75,48,9.19
6.75,48.25,9.19
6.75,48.5,9.19
6.75,48.75,9.18
6.75,49,9.18
6.75,49.25,9.18
6.75,49.5,9.17
6.75,49.75,9.17
6.75,50,9.17
6.75,50.25,9.16
6.75,50.5,9.16
