N,E,Z
16.75,0.5,10.05
16.75,0.75,10.05
16.75,1,10.05
16.75,1.25,10.05
16.75,1.5,10.05
16.75,1.75,10.05
16.75,2,10.05
16.75,2.25,10.05
16.75,2.5,10.05
16.75,2.75,10.04
16.75,3,10.04
16.75,3.25,10.04
16.75,3.5,10.04
16.75,3.75,10.04
16.75,4,10.04
16.75,4.25,10.04
16.75,4.5,10.04
16.75,4.75,10.04
16.75,5,10.04
16.75,5.25,10.04
16.75,5.5,10.04
16.75,5.75,10.04
16.75,6,10.04
16.75,6.25,10.04
16.75,6.5,10.04
16.75,6.75,10.04
16.75,7,10.04
16.75,7.25,10.03
16.75,7.5,10.03
16.75,7.75,10.03
16.75,8,10.03
16.75,8.25,10.03
16.75,8.5,10.03
16.75,8.75,10.02
16.75,9,10.02
16.75,9.25,10.02
16.75,9.5,10.02
16.75,9.75,10.01
16.75,10,10.01
16.75,10.25,10.01
16.75,10.5,10
16.75,10.75,10
16.75,11,10
16.75,11.25,10
16.75,11.5,9.99
16.75,11.75,9.99
16.75,12,9.99
16.75,12.25,9.99
16.75,12.5,9.98
16.75,12.75,9.98
16.75,13,9.98
16.75,13.25,9.98
16.75,13.5,9.97
16.75,13.75,9.97
16.75,14,9.97
16.75,14.25,9.97
16.75,14.5,9.97
16.75,14.75,9.96
16.75,15,9.96
16.75,15.25,9.96
16.75,15.5,9.96
16.75,15.75,9.96
16.75,16,9.95
16.75,16.25,9.95
16.75,16.5,9.95
16.75,16.75,9.95
16.75,17,9.95
16.75,17.25,9.95
16.75,17.5,9.95
16.75,17.75,9.95
16.75,18,9.94
16.75,18.25,9.94
16.75,18.5,9.94
16.75,18.75,9.93
16.75,19,9.93
16.75,19.25,9.92
16.75,19.5,9.91
16.75,19.75,9.91
16.75,20,9.9
16.75,20.25,9.89
16.75,20.5,9.89
16.75,20.75,9.88
16.75,21,9.87
16.75,21.25,9.87
16.75,21.5,9.86
16.75,21.75,9.85
16.75,22,9.85
16.75,22.25,9.84
16.75,22.5,9.84
16.75,22.75,9.83
16.75,23,9.82
16.75,23.25,9.82
16.75,23.5,9.81
16.75,23.75,9.8
16.75,24,9.8
16.75,24.25,9.79
16.75,24.5,9.79
16.75,24.75,9.78
16.75,25,9.78
16.75,25.25,9.77
16.75,25.5,9.76
16.75,25.75,9.76
16.75,26,9.75
16.75,26.25,9.75
16.75,26.5,9.74
16.75,26.75,9.74
16.75,27,9.73
16.75,27.25,9.72
16.75,27.5,9.72
16.75,27.75,9.71
16.75,28,9.7
16.75,28.25,9.69
16.75,28.5,9.69
16.75,28.75,9.68
16.75,29,9.67
16.75,29.25,9.66
16.75,29.5,9.66
16.75,29.75,9.65
16.75,30,9.64
16.75,30.25,9.63
16.75,30.5,9.63
16.75,30.75,9.62
16.75,31,9.61
16.75,31.25,9.6
16.75,31.5,9.6
16.75,31.75,9.59
16.75,32,9.58
16.75,32.25,9.58
16.75,32.5,9.57
16.75,32.75,9.56
16.75,33,9.56
16.75,33.25,9.55
16.75,33.5,9.54
16.75,33.75,9.53
16.75,34,9.53
16.75,34.25,9.52
16.75,34.5,9.51
16.75,34.75,9.51
16.75,35,9.5
16.75,35.25,9.49
16.75,35.5,9.49
16.75,35.75,9.48
16.75,36,9.47
16.75,36.25,9.47
16.75,36.5,9.46
16.75,36.75,9.45
16.75,37,9.45
16.75,37.25,9.44
16.75,37.5,9.43
16.75,37.75,9.43
16.75,38,9.42
16.75,38.25,9.41
16.75,38.5,9.41
16.75,38.75,9.4
16.75,39,9.39
16.75,39.25,9.39
16.75,39.5,9.38
16.75,39.75,9.38
16.75,40,9.37
16.75,40.25,9.36
16.75,40.5,9.36
16.75,40.75,9.35
16.75,41,9.35
16.75,41.25,9.34
16.75,41.5,9.33
16.75,41.75,9.33
16.75,42,9.32
16.75,42.25,9.32
16.75,42.5,9.31
16.75,42.75,9.3
16.75,43,9.3
16.75,43.25,9.29
16.75,43.5,9.29
16.75,43.75,9.28
16.75,44,9.27
16.75,44.25,9.27
16.75,44.5,9.26
16.75,44.75,9.26
16.75,45,9.25
16.75,45.25,9.25
16.75,45.5,9.24
16.75,45.75,9.24
16.75,46,9.23
16.75,46.25,9.22
16.75,46.5,9.22
16.75,46.75,9.21
16.75,47,9.21
16.75,47.25,9.2
16.75,47.5,9.2
16.75,47.75,9.19
16.75,48,9.19
16.75,48.25,9.18
16.75,48.5,9.18
16.75,48.75,9.17
16.75,49,9.17
16.75,49.25,9.16
16.75,49.5,9.16
