N,E,Z
10,-0.5,10.02
10,-0.25,10.02
10,0,10.02
10,0.25,10.02
10,0.5,10.02
10,0.75,10.02
10,1,10.01
10,1.25,10.01
10,1.5,10.01
10,1.75,10.01
10,2,10.01
10,2.25,10.01
10,2.5,10.01
10,2.75,10.01
10,3,10.01
10,3.25,10
10,3.5,10
10,3.75,10
10,4,10
10,4.25,10
10,4.5,10
10,4.75,10
10,5,10
10,5.25,9.99
10,5.5,9.99
10,5.75,9.99
10,6,9.99
10,6.25,9.99
10,6.5,9.99
10,6.75,9.99
10,7,9.98
10,7.25,9.98
10,7.5,9.98
10,7.75,9.98
10,8,9.98
10,8.25,9.98
10,8.5,9.97
10,8.75,9.97
10,9,9.97
10,9.25,9.97
10,9.5,9.97
10,9.75,9.97
10,10,9.96
10,10.25,9.96
10,10.5,9.96
10,10.75,9.96
10,11,9.96
10,11.25,9.96
10,11.5,9.95
10,11.75,9.95
10,12,9.95
10,12.25,9.95
10,12.5,9.95
10,12.75,9.94
10,13,9.94
10,13.25,9.94
10,13.5,9.94
10,13.75,9.94
10,14,9.93
10,14.25,9.93
10,14.5,9.93
10,14.75,9.93
10,15,9.92
10,15.25,9.92
10,15.5,9.92
10,15.75,9.92
10,16,9.91
10,16.25,9.91
10,16.5,9.9
10,16.75,9.9
10,17,9.9
10,17.25,9.89
10,17.5,9.89
10,17.75,9.89
10,18,9.88
10,18.25,9.88
10,18.5,9.87
10,18.75,9.87
10,19,9.86
10,19.25,9.86
10,19.5,9.85
10,19.75,9.85
10,20,9.84
10,20.25,9.84
10,20.5,9.83
10,20.75,9.83
10,21,9.82
10,21.25,9.82
10,21.5,9.81
10,21.75,9.81
10,22,9.8
10,22.25,9.8
10,22.5,9.79
10,22.75,9.79
10,23,9.78
10,23.25,9.78
10,23.5,9.77
10,23.75,9.76
10,24,9.76
10,24.25,9.75
10,24.5,9.75
10,24.75,9.74
10,25,9.73
10,25.25,9.73
10,25.5,9.72
10,25.75,9.72
10,26,9.71
10,26.25,9.71
10,26.5,9.7
10,26.75,9.69
10,27,9.69
10,27.25,9.68
10,27.5,9.68
10,27.75,9.67
10,28,9.66
10,28.25,9.66
10,28.5,9.65
10,28.75,9.64
10,29,9.64
10,29.25,9.63
10,29.5,9.63
10,29.75,9.62
10,30,9.61
10,30.25,9.61
10,30.5,9.6
10,30.75,9.59
10,31,9.59
10,31.25,9.58
10,31.5,9.57
10,31.75,9.57
10,32,9.56
10,32.25,9.56
10,32.5,9.55
10,32.75,9.54
10,33,9.54
10,33.25,9.53
10,33.5,9.52
10,33.75,9.52
10,34,9.51
10,34.25,9.5
10,34.5,9.5
10,34.75,9.49
10,35,9.48
10,35.25,9.48
10,35.5,9.47
10,35.75,9.47
10,36,9.46
10,36.25,9.45
10,36.5,9.45
10,36.75,9.44
10,37,9.43
10,37.25,9.43
10,37.5,9.42
10,37.75,9.42
10,38,9.41
10,38.25,9.4
10,38.5,9.4
10,38.75,9.39
10,39,9.38
10,39.25,9.38
10,39.5,9.37
10,39.75,9.37
10,40,9.36
10,40.25,9.36
10,40.5,9.35
10,40.75,9.34
10,41,9.34
10,41.25,9.33
10,41.5,9.33
10,41.75,9.32
10,42,9.32
10,42.25,9.31
10,42.5,9.31
10,42.75,9.3
10,43,9.3
10,43.25,9.29
10,43.5,9.28
10,43.75,9.28
10,44,9.27
10,44.25,9.27
10,44.5,9.27
10,44.75,9.26
10,45,9.26
10,45.25,9.25
10,45.5,9.25
10,45.75,9.24
10,46,9.24
10,46.25,9.23
10,46.5,9.23
10,46.75,9.22
10,47,9.22
10,47.25,9.21
10,47.5,9.21
10,47.75,9.21
10,48,9.2
10,48.25,9.2
10,48.5,9.19
10,48.75,9.19
