N,E,Z
7.25,0.75,10.02
7.25,1,10.01
7.25,1.25,10.01
7.25,1.5,10.01
7.25,1.75,10.01
7.25,2,10.01
7.25,2.25,10.01
7.25,2.5,10.01
7.25,2.75,10
7.25,3,10
7.25,3.25,10
7.25,3.5,10
7.25,3.75,10
7.25,4,10
7.25,4.25,9.99
7.25,4.5,9.99
7.25,4.75,9.99
7.25,5,9.99
7.25,5.25,9.99
7.25,5.5,9.99
7.25,5.75,9.99
7.25,6,9.98
7.25,6.25,9.98
7.25,6.5,9.98
7.25,6.75,9.98
7.25,7,9.98
7.25,7.25,9.98
7.25,7.5,9.98
7.25,7.75,9.97
7.25,8,9.97
7.25,8.25,9.97
7.25,8.5,9.97
7.25,8.75,9.97
7.25,9,9.97
7.25,9.25,9.97
7.25,9.5,9.97
7.25,9.75,9.96
7.25,10,9.96
7.25,10.25,9.96
7.25,10.5,9.96
7.25,10.75,9.96
7.25,11,9.96
7.25,11.25,9.96
7.25,11.5,9.96
7.25,11.75,9.96
7.25,12,9.96
7.25,12.25,9.96
7.25,12.5,9.96
7.25,12.75,9.96
7.25,13,9.96
7.25,13.25,9.95
7.25,13.5,9.95
7.25,13.75,9.95
7.25,14,9.95
7.25,14.25,9.95
7.25,14.5,9.95
7.25,14.75,9.95
7.25,15,9.94
7.25,15.25,9.94
7.25,15.5,9.93
7.25,15.75,9.93
7.25,16,9.92
7.25,16.25,9.92
7.25,16.5,9.91
7.25,16.75,9.91
7.25,17,9.9
7.25,17.25,9.9
7.25,17.5,9.89
7.25,17.75,9.89
7.25,18,9.88
7.25,18.25,9.88
7.25,18.5,9.87
7.25,18.75,9.87
7.25,19,9.86
7.25,19.25,9.86
7.25,19.5,9.85
7.25,19.75,9.85
7.25,20,9.84
7.25,20.25,9.84
7.25,20.5,9.83
7.25,20.75,9.83
7.25,21,9.82
7.25,21.25,9.82
7.25,21.5,9.81
7.25,21.75,9.81
7.25,22,9.8
7.25,22.25,9.8
7.25,22.5,9.79
7.25,22.75,9.78
7.25,23,9.78
7.25,23.25,9.77
7.25,23.5,9.77
7.25,23.75,9.76
7.25,24,9.76
7.25,24.25,9.75
7.25,24.5,9.74
7.25,24.75,9.74
7.25,25,9.73
7.25,25.25,9.73
7.25,25.5,9.72
7.25,25.75,9.72
7.25,26,9.71
7.25,26.25,9.7
7.25,26.5,9.7
7.25,26.75,9.69
7.25,27,9.68
7.25,27.25,9.68
7.25,27.5,9.67
7.25,27.75,9.67
7.25,28,9.66
7.25,28.25,9.65
7.25,28.5,9.65
7.25,28.75,9.64
7.25,29,9.64
7.25,29.25,9.63
7.25,29.5,9.62
7.25,29.75,9.62
7.25,30,9.61
7.25,30.25,9.6
7.25,30.5,9.6
7.25,30.75,9.59
7.25,31,9.58
7.25,31.25,9.58
7.25,31.5,9.57
7.25,31.75,9.56
7.25,32,9.56
7.25,32.25,9.55
7.25,32.5,9.54
7.25,32.75,9.54
7.25,33,9.53
7.25,33.25,9.52
7.25,33.5,9.52
7.25,33.75,9.51
7.25,34,9.51
7.25,34.25,9.5
7.25,34.5,9.49
7.25,34.75,9.49
7.25,35,9.48
7.25,35.25,9.47
7.25,35.5,9.47
7.25,35.75,9.46
7.25,36,9.45
7.25,36.25,9.45
7.25,36.5,9.44
7.25,36.75,9.43
7.25,37,9.43
7.25,37.25,9.42
7.25,37.5,9.41
7.25,37.75,9.41
7.25,38,9.4
7.25,38.25,9.39
7.25,38.5,9.39
7.25,38.75,9.38
7.25,39,9.38
7.25,39.25,9.37
7.25,39.5,9.36
7.25,39.75,9.36
7.25,40,9.35
7.25,40.25,9.35
7.25,40.5,9.34
7.25,40.75,9.33
7.25,41,9.33
7.25,41.25,9.32
7.25,41.5,9.32
7.25,41.75,9.31
7.25,42,9.31
7.25,42.25,9.3
7.25,42.5,9.3
7.25,42.75,9.29
7.25,43,9.28
7.25,43.25,9.28
7.25,43.5,9.27
7.25,43.75,9.27
7.25,44,9.27
7.25,44.25,9.26
7.25,44.5,9.26
7.25,44.75,9.25
7.25,45,9.25
7.25,45.25,9.24
7.25,45.5,9.24
7.25,45.75,9.23
7.25,46,9.23
7.25,46.25,9.22
7.25,46.5,9.22
7.25,46.75,9.22
7.25,47,9.21
7.25,47.25,9.21
7.25,47.5,9.2
7.25,47.75,9.2
7.25,48,9.2
7.25,48.25,9.19
7.25,48.5,9.19
7.25,48.75,9.18
7.25,49,9.18
7.25,49.25,9.18
7.25,49.5,9.17
7.25,49.75,9.17
7.25,50,9.17
7.25,50.25,9.16
7.25,50.5,9.16
