N,E,Z
3,-0.75,10.03
3,-0.5,10.03
3,-0.25,10.03
3,0,10.03
3,0.25,10.02
3,0.5,10.02
3,0.75,10.02
3,1,10.02
3,1.25,10.02
3,1.5,10.02
3,1.75,10.02
3,2,10.02
3,2.25,10.01
3,2.5,10.01
3,2.75,10.01
3,3,10.01
3,3.25,10.01
3,3.5,10.01
3,3.75,10.01
3,4,10.01
3,4.25,10.01
3,4.5,10
3,4.75,10
3,5,10
3,5.25,10
3,5.5,10
3,5.75,10
3,6,10
3,6.25,10
3,6.5,10
3,6.75,10
3,7,9.99
3,7.25,9.99
3,7.5,9.99
3,7.75,9.99
3,8,9.99
3,8.25,9.99
3,8.5,9.99
3,8.75,9.99
3,9,9.99
3,9.25,9.99
3,9.5,9.99
3,9.75,9.99
3,10,9.99
3,10.25,9.98
3,10.5,9.98
3,10.75,9.98
3,11,9.98
3,11.25,9.98
3,11.5,9.98
3,11.75,9.98
3,12,9.98
3,12.25,9.98
3,12.5,9.98
3,12.75,9.97
3,13,9.97
3,13.25,9.97
3,13.5,9.97
3,13.75,9.97
3,14,9.97
3,14.25,9.96
3,14.5,9.96
3,14.75,9.96
3,15,9.96
3,15.25,9.95
3,15.5,9.95
3,15.75,9.95
3,16,9.94
3,16.25,9.94
3,16.5,9.93
3,16.75,9.93
3,17,9.93
3,17.25,9.92
3,17.5,9.92
3,17.75,9.92
3,18,9.91
3,18.25,9.91
3,18.5,9.9
3,18.75,9.9
3,19,9.89
3,19.25,9.89
3,19.5,9.88
3,19.75,9.88
3,20,9.87
3,20.25,9.87
3,20.5,9.86
3,20.75,9.86
3,21,9.85
3,21.25,9.85
3,21.5,9.84
3,21.75,9.84
3,22,9.83
3,22.25,9.83
3,22.5,9.82
3,22.75,9.81
3,23,9.81
3,23.25,9.8
3,23.5,9.8
3,23.75,9.79
3,24,9.78
3,24.25,9.78
3,24.5,9.77
3,24.75,9.76
3,25,9.76
3,25.25,9.75
3,25.5,9.74
3,25.75,9.74
3,26,9.73
3,26.25,9.72
3,26.5,9.72
3,26.75,9.71
3,27,9.7
3,27.25,9.7
3,27.5,9.69
3,27.75,9.68
3,28,9.67
3,28.25,9.67
3,28.5,9.66
3,28.75,9.65
3,29,9.65
3,29.25,9.64
3,29.5,9.63
3,29.75,9.63
3,30,9.62
3,30.25,9.61
3,30.5,9.6
3,30.75,9.6
3,31,9.59
3,31.25,9.58
3,31.5,9.58
3,31.75,9.57
3,32,9.56
3,32.25,9.55
3,32.5,9.55
3,32.75,9.54
3,33,9.53
3,33.25,9.52
3,33.5,9.52
3,33.75,9.51
3,34,9.5
3,34.25,9.49
3,34.5,9.49
3,34.75,9.48
3,35,9.47
3,35.25,9.46
3,35.5,9.46
3,35.75,9.45
3,36,9.44
3,36.25,9.43
3,36.5,9.43
3,36.75,9.42
3,37,9.41
3,37.25,9.41
3,37.5,9.4
3,37.75,9.39
3,38,9.38
3,38.25,9.38
3,38.5,9.37
3,38.75,9.36
3,39,9.35
3,39.25,9.35
3,39.5,9.34
3,39.75,9.33
3,40,9.33
3,40.25,9.32
3,40.5,9.31
3,40.75,9.31
3,41,9.3
3,41.25,9.29
3,41.5,9.29
3,41.75,9.28
3,42,9.28
3,42.25,9.27
3,42.5,9.27
3,42.75,9.26
3,43,9.26
3,43.25,9.25
3,43.5,9.25
3,43.75,9.24
3,44,9.24
3,44.25,9.23
3,44.5,9.23
3,44.75,9.22
3,45,9.22
3,45.25,9.21
3,45.5,9.21
3,45.75,9.2
3,46,9.2
3,46.25,9.2
3,46.5,9.19
3,46.75,9.19
3,47,9.18
3,47.25,9.18
3,47.5,9.18
3,47.75,9.17
3,48,9.17
3,48.25,9.16
3,48.5,9.16
3,48.75,9.16
