N,E,Z
19,-0.25,10.06
19,0,10.06
19,0.25,10.06
19,0.5,10.06
19,0.75,10.06
19,1,10.06
19,1.25,10.06
19,1.5,10.06
19,1.75,10.06
19,2,10.06
19,2.25,10.06
19,2.5,10.06
19,2.75,10.06
19,3,10.06
19,3.25,10.06
19,3.5,10.05
19,3.75,10.05
19,4,10.05
19,4.25,10.05
19,4.5,10.05
19,4.75,10.05
19,5,10.05
19,5.25,10.05
19,5.5,10.05
19,5.75,10.05
19,6,10.05
19,6.25,10.05
19,6.5,10.04
19,6.75,10.04
19,7,10.04
19,7.25,10.04
19,7.5,10.04
19,7.75,10.04
19,8,10.04
19,8.25,10.03
19,8.5,10.03
19,8.75,10.03
19,9,10.03
19,9.25,10.02
19,9.5,10.02
19,9.75,10.02
19,10,10.02
19,10.25,10.02
19,10.5,10.01
19,10.75,10.01
19,11,10.01
19,11.25,10.01
19,11.5,10
19,11.75,10
19,12,10
19,12.25,10
19,12.5,9.99
19,12.75,9.99
19,13,9.99
19,13.25,9.99
19,13.5,9.98
19,13.75,9.98
19,14,9.98
19,14.25,9.98
19,14.5,9.97
19,14.75,9.97
19,15,9.97
19,15.25,9.97
19,15.5,9.96
19,15.75,9.96
19,16,9.96
19,16.25,9.95
19,16.5,9.95
19,16.75,9.95
19,17,9.95
19,17.25,9.94
19,17.5,9.94
19,17.75,9.94
19,18,9.93
19,18.25,9.93
19,18.5,9.92
19,18.75,9.92
19,19,9.92
19,19.25,9.91
19,19.5,9.91
19,19.75,9.9
19,20,9.9
19,20.25,9.89
19,20.5,9.88
19,20.75,9.88
19,21,9.87
19,21.25,9.87
19,21.5,9.86
19,21.75,9.86
19,22,9.85
19,22.25,9.84
19,22.5,9.84
19,22.75,9.83
19,23,9.82
19,23.25,9.82
19,23.5,9.81
19,23.75,9.81
19,24,9.8
19,24.25,9.79
19,24.5,9.79
19,24.75,9.78
19,25,9.78
19,25.25,9.77
19,25.5,9.77
19,25.75,9.76
19,26,9.75
19,26.25,9.75
19,26.5,9.74
19,26.75,9.73
19,27,9.73
19,27.25,9.72
19,27.5,9.71
19,27.75,9.71
19,28,9.7
19,28.25,9.69
19,28.5,9.69
19,28.75,9.68
19,29,9.67
19,29.25,9.66
19,29.5,9.66
19,29.75,9.65
19,30,9.64
19,30.25,9.63
19,30.5,9.63
19,30.75,9.62
19,31,9.61
19,31.25,9.6
19,31.5,9.6
19,31.75,9.59
19,32,9.58
19,32.25,9.58
19,32.5,9.57
19,32.75,9.56
19,33,9.55
19,33.25,9.55
19,33.5,9.54
19,33.75,9.53
19,34,9.53
19,34.25,9.52
19,34.5,9.51
19,34.75,9.5
19,35,9.5
19,35.25,9.49
19,35.5,9.48
19,35.75,9.48
19,36,9.47
19,36.25,9.46
19,36.5,9.46
19,36.75,9.45
19,37,9.44
19,37.25,9.44
19,37.5,9.43
19,37.75,9.42
19,38,9.42
19,38.25,9.41
19,38.5,9.4
19,38.75,9.4
19,39,9.39
19,39.25,9.38
19,39.5,9.38
19,39.75,9.37
19,40,9.37
19,40.25,9.36
19,40.5,9.36
19,40.75,9.35
19,41,9.34
19,41.25,9.34
19,41.5,9.33
19,41.75,9.33
19,42,9.32
19,42.25,9.31
19,42.5,9.31
19,42.75,9.3
19,43,9.29
19,43.25,9.29
19,43.5,9.28
19,43.75,9.28
19,44,9.27
19,44.25,9.26
19,44.5,9.26
19,44.75,9.25
19,45,9.25
19,45.25,9.24
19,45.5,9.23
19,45.75,9.23
19,46,9.22
19,46.25,9.22
19,46.5,9.21
19,46.75,9.21
19,47,9.2
19,47.25,9.19
19,47.5,9.19
19,47.75,9.18
19,48,9.18
