N,E,Z
16.5,-1,10.05
16.5,-0.75,10.05
16.5,-0.5,10.05
16.5,-0.25,10.05
16.5,0,10.05
16.5,0.25,10.05
16.5,0.5,10.05
16.5,0.75,10.05
16.5,1,10.05
16.5,1.25,10.05
16.5,1.5,10.05
16.5,1.75,10.05
16.5,2,10.04
16.5,2.25,10.04
16.5,2.5,10.04
16.5,2.75,10.04
16.5,3,10.04
16.5,3.25,10.04
16.5,3.5,10.04
16.5,3.75,10.04
16.5,4,10.04
16.5,4.25,10.04
16.5,4.5,10.04
16.5,4.75,10.04
16.5,5,10.04
16.5,5.25,10.04
16.5,5.5,10.04
16.5,5.75,10.04
16.5,6,10.04
16.5,6.25,10.04
16.5,6.5,10.04
16.5,6.75,10.04
16.5,7,10.03
16.5,7.25,10.03
16.5,7.5,10.03
16.5,7.75,10.03
16.5,8,10.03
16.5,8.25,10.03
16.5,8.5,10.03
16.5,8.75,10.02
16.5,9,10.02
16.5,9.25,10.02
16.5,9.5,10.02
16.5,9.75,10.01
16.5,10,10.01
16.5,10.25,10.01
16.5,10.5,10
16.5,10.75,10
16.5,11,10
16.5,11.25,9.99
16.5,11.5,9.99
16.5,11.75,9.99
16.5,12,9.99
16.5,12.25,9.98
16.5,12.5,9.98
16.5,12.75,9.98
16.5,13,9.98
16.5,13.25,9.97
16.5,13.5,9.97
16.5,13.75,9.97
16.5,14,9.97
16.5,14.25,9.97
16.5,14.5,9.96
16.5,14.75,9.96
16.5,15,9.96
16.5,15.25,9.96
16.5,15.5,9.96
16.5,15.75,9.96
16.5,16,9.95
16.5,16.25,9.95
16.5,16.5,9.95
16.5,16.75,9.95
16.5,17,9.95
16.5,17.25,9.95
16.5,17.5,9.95
16.5,17.75,9.95
16.5,18,9.95
16.5,18.25,9.94
16.5,18.5,9.94
16.5,18.75,9.94
16.5,19,9.93
16.5,19.25,9.92
16.5,19.5,9.92
16.5,19.75,9.91
16.5,20,9.9
16.5,20.25,9.89
16.5,20.5,9.89
16.5,20.75,9.88
16.5,21,9.87
16.5,21.25,9.87
16.5,21.5,9.86
16.5,21.75,9.85
16.5,22,9.85
16.5,22.25,9.84
16.5,22.5,9.83
16.5,22.75,9.83
16.5,23,9.82
16.5,23.25,9.82
16.5,23.5,9.81
16.5,23.75,9.8
16.5,24,9.8
16.5,24.25,9.79
16.5,24.5,9.79
16.5,24.75,9.78
16.5,25,9.77
16.5,25.25,9.77
16.5,25.5,9.76
16.5,25.75,9.76
16.5,26,9.75
16.5,26.25,9.75
16.5,26.5,9.74
16.5,26.75,9.73
16.5,27,9.73
16.5,27.25,9.72
16.5,27.5,9.71
16.5,27.75,9.71
16.5,28,9.7
16.5,28.25,9.69
16.5,28.5,9.68
16.5,28.75,9.68
16.5,29,9.67
16.5,29.25,9.66
16.5,29.5,9.65
16.5,29.75,9.65
16.5,30,9.64
16.5,30.25,9.63
16.5,30.5,9.63
16.5,30.75,9.62
16.5,31,9.61
16.5,31.25,9.6
16.5,31.5,9.6
16.5,31.75,9.59
16.5,32,9.58
16.5,32.25,9.58
16.5,32.5,9.57
16.5,32.75,9.56
16.5,33,9.56
16.5,33.25,9.55
16.5,33.5,9.54
16.5,33.75,9.53
16.5,34,9.53
16.5,34.25,9.52
16.5,34.5,9.51
16.5,34.75,9.51
16.5,35,9.5
16.5,35.25,9.49
16.5,35.5,9.49
16.5,35.75,9.48
16.5,36,9.47
16.5,36.25,9.47
16.5,36.5,9.46
16.5,36.75,9.45
16.5,37,9.45
16.5,37.25,9.44
16.5,37.5,9.43
16.5,37.75,9.43
16.5,38,9.42
16.5,38.25,9.41
16.5,38.5,9.41
16.5,38.75,9.4
16.5,39,9.39
16.5,39.25,9.39
16.5,39.5,9.38
16.5,39.75,9.38
16.5,40,9.37
16.5,40.25,9.36
16.5,40.5,9.36
16.5,40.75,9.35
16.5,41,9.35
16.5,41.25,9.34
16.5,41.5,9.33
16.5,41.75,9.33
16.5,42,9.32
16.5,42.25,9.32
16.5,42.5,9.31
16.5,42.75,9.3
16.5,43,9.3
16.5,43.25,9.29
16.5,43.5,9.29
16.5,43.75,9.28
16.5,44,9.27
16.5,44.25,9.27
16.5,44.5,9.26
16.5,44.75,9.26
16.5,45,9.25
16.5,45.25,9.25
16.5,45.5,9.24
16.5,45.75,9.24
16.5,46,9.23
16.5,46.25,9.23
16.5,46.5,9.22
16.5,46.75,9.21
16.5,47,9.21
16.5,47.25,9.2
16.5,47.5,9.2
16.5,47.75,9.19
16.5,48,9.19
16.5,48.25,9.18
16.5,48.5,9.18
