N,E,Z
20.5,-0.5,10.08
20.5,-0.25,10.07
20.5,0,10.07
20.5,0.25,10.07
20.5,0.5,10.07
20.5,0.75,10.07
20.5,1,10.07
20.5,1.25,10.07
20.5,1.5,10.07
20.5,1.75,10.07
20.5,2,10.07
20.5,2.25,10.07
20.5,2.5,10.07
20.5,2.75,10.07
20.5,3,10.06
20.5,3.25,10.06
20.5,3.5,10.06
20.5,3.75,10.06
20.5,4,10.06
20.5,4.25,10.06
20.5,4.5,10.06
20.5,4.75,10.06
20.5,5,10.06
20.5,5.25,10.06
20.5,5.5,10.06
20.5,5.75,10.05
20.5,6,10.05
20.5,6.25,10.05
20.5,6.5,10.05
20.5,6.75,10.05
20.5,7,10.05
20.5,7.25,10.05
20.5,7.5,10.04
20.5,7.75,10.04
20.5,8,10.04
20.5,8.25,10.04
20.5,8.5,10.04
20.5,8.75,10.03
20.5,9,10.03
20.5,9.25,10.03
20.5,9.5,10.03
20.5,9.75,10.03
20.5,10,10.02
20.5,10.25,10.02
20.5,10.5,10.02
20.5,10.75,10.02
20.5,11,10.01
20.5,11.25,10.01
20.5,11.5,10.01
20.5,11.75,10.01
20.5,12,10
20.5,12.25,10
20.5,12.5,10
20.5,12.75,10
20.5,13,9.99
20.5,13.25,9.99
20.5,13.5,9.99
20.5,13.75,9.98
20.5,14,9.98
20.5,14.25,9.98
20.5,14.5,9.98
20.5,14.75,9.97
20.5,15,9.97
20.5,15.25,9.97
20.5,15.5,9.96
20.5,15.75,9.96
20.5,16,9.96
20.5,16.25,9.95
20.5,16.5,9.95
20.5,16.75,9.95
20.5,17,9.94
20.5,17.25,9.94
20.5,17.5,9.94
20.5,17.75,9.93
20.5,18,9.93
20.5,18.25,9.93
20.5,18.5,9.92
20.5,18.75,9.92
20.5,19,9.91
20.5,19.25,9.91
20.5,19.5,9.9
20.5,19.75,9.9
20.5,20,9.89
20.5,20.25,9.89
20.5,20.5,9.88
20.5,20.75,9.88
20.5,21,9.87
20.5,21.25,9.87
20.5,21.5,9.86
20.5,21.75,9.85
20.5,22,9.85
20.5,22.25,9.84
20.5,22.5,9.84
20.5,22.75,9.83
20.5,23,9.82
20.5,23.25,9.82
20.5,23.5,9.81
20.5,23.75,9.81
20.5,24,9.8
20.5,24.25,9.79
20.5,24.5,9.79
20.5,24.75,9.78
20.5,25,9.77
20.5,25.25,9.77
20.5,25.5,9.76
20.5,25.75,9.76
20.5,26,9.75
20.5,26.25,9.74
20.5,26.5,9.74
20.5,26.75,9.73
20.5,27,9.72
20.5,27.25,9.72
20.5,27.5,9.71
20.5,27.75,9.7
20.5,28,9.69
20.5,28.25,9.69
20.5,28.5,9.68
20.5,28.75,9.67
20.5,29,9.67
20.5,29.25,9.66
20.5,29.5,9.65
20.5,29.75,9.64
20.5,30,9.64
20.5,30.25,9.63
20.5,30.5,9.62
20.5,30.75,9.61
20.5,31,9.61
20.5,31.25,9.6
20.5,31.5,9.59
20.5,31.75,9.58
20.5,32,9.58
20.5,32.25,9.57
20.5,32.5,9.56
20.5,32.75,9.56
20.5,33,9.55
20.5,33.25,9.54
20.5,33.5,9.53
20.5,33.75,9.53
20.5,34,9.52
20.5,34.25,9.51
20.5,34.5,9.5
20.5,34.75,9.5
20.5,35,9.49
20.5,35.25,9.48
20.5,35.5,9.48
20.5,35.75,9.47
20.5,36,9.46
20.5,36.25,9.45
20.5,36.5,9.45
20.5,36.75,9.44
20.5,37,9.43
20.5,37.25,9.43
20.5,37.5,9.42
20.5,37.75,9.42
20.5,38,9.41
20.5,38.25,9.4
20.5,38.5,9.4
20.5,38.75,9.39
20.5,39,9.39
20.5,39.25,9.38
20.5,39.5,9.37
20.5,39.75,9.37
20.5,40,9.36
20.5,40.25,9.36
20.5,40.5,9.35
20.5,40.75,9.35
20.5,41,9.34
20.5,41.25,9.33
20.5,41.5,9.33
20.5,41.75,9.32
20.5,42,9.32
20.5,42.25,9.31
20.5,42.5,9.3
20.5,42.75,9.3
20.5,43,9.29
20.5,43.25,9.28
20.5,43.5,9.28
20.5,43.75,9.27
20.5,44,9.27
20.5,44.25,9.26
20.5,44.5,9.25
20.5,44.75,9.25
20.5,45,9.24
20.5,45.25,9.24
20.5,45.5,9.23
20.5,45.75,9.22
20.5,46,9.22
20.5,46.25,9.21
20.5,46.5,9.21
20.5,46.75,9.2
20.5,47,9.2
20.5,47.25,9.19
20.5,47.5,9.18
20.5,47.75,9.18
20.5,48,9.17
20.5,48.25,9.17
