N,E,Z
13.75,0,10.04
13.75,0.25,10.04
13.75,0.5,10.04
13.75,0.75,10.04
13.75,1,10.03
13.75,1.25,10.03
13.75,1.5,10.03
13.75,1.75,10.03
13.75,2,10.03
13.75,2.25,10.03
13.75,2.5,10.03
13.75,2.75,10.03
13.75,3,10.03
13.75,3.25,10.03
13.75,3.5,10.03
13.75,3.75,10.03
13.75,4,10.02
13.75,4.25,10.02
13.75,4.5,10.02
13.75,4.75,10.02
13.75,5,10.02
13.75,5.25,10.02
13.75,5.5,10.02
13.75,5.75,10.02
13.75,6,10.02
13.75,6.25,10.02
13.75,6.5,10.02
13.75,6.75,10.02
13.75,7,10.02
13.75,7.25,10.02
13.75,7.5,10.02
13.75,7.75,10.01
13.75,8,10.01
13.75,8.25,10.01
13.75,8.5,10.01
13.75,8.75,10.01
13.75,9,10
13.75,9.25,10
13.75,9.5,10
13.75,9.75,9.99
13.75,10,9.99
13.75,10.25,9.99
13.75,10.5,9.98
13.75,10.75,9.98
13.75,11,9.98
13.75,11.25,9.98
13.75,11.5,9.97
13.75,11.75,9.97
13.75,12,9.97
13.75,12.25,9.97
13.75,12.5,9.96
13.75,12.75,9.96
13.75,13,9.96
13.75,13.25,9.96
13.75,13.5,9.95
13.75,13.75,9.95
13.75,14,9.95
13.75,14.25,9.95
13.75,14.5,9.95
13.75,14.75,9.94
13.75,15,9.94
13.75,15.25,9.94
13.75,15.5,9.94
13.75,15.75,9.94
13.75,16,9.93
13.75,16.25,9.93
13.75,16.5,9.93
13.75,16.75,9.93
13.75,17,9.93
13.75,17.25,9.92
13.75,17.5,9.92
13.75,17.75,9.92
13.75,18,9.92
13.75,18.25,9.91
13.75,18.5,9.91
13.75,18.75,9.91
13.75,19,9.9
13.75,19.25,9.9
13.75,19.5,9.89
13.75,19.75,9.89
13.75,20,9.88
13.75,20.25,9.88
13.75,20.5,9.87
13.75,20.75,9.86
13.75,21,9.86
13.75,21.25,9.85
13.75,21.5,9.84
13.75,21.75,9.84
13.75,22,9.83
13.75,22.25,9.82
13.75,22.5,9.82
13.75,22.75,9.81
13.75,23,9.81
13.75,23.25,9.8
13.75,23.5,9.79
13.75,23.75,9.79
13.75,24,9.78
13.75,24.25,9.77
13.75,24.5,9.77
13.75,24.75,9.76
13.75,25,9.76
13.75,25.25,9.75
13.75,25.5,9.74
13.75,25.75,9.74
13.75,26,9.73
13.75,26.25,9.73
13.75,26.5,9.72
13.75,26.75,9.71
13.75,27,9.71
13.75,27.25,9.7
13.75,27.5,9.69
13.75,27.75,9.69
13.75,28,9.68
13.75,28.25,9.68
13.75,28.5,9.67
13.75,28.75,9.66
13.75,29,9.66
13.75,29.25,9.65
13.75,29.5,9.64
13.75,29.75,9.64
13.75,30,9.63
13.75,30.25,9.62
13.75,30.5,9.62
13.75,30.75,9.61
13.75,31,9.6
13.75,31.25,9.59
13.75,31.5,9.59
13.75,31.75,9.58
13.75,32,9.57
13.75,32.25,9.57
13.75,32.5,9.56
13.75,32.75,9.55
13.75,33,9.55
13.75,33.25,9.54
13.75,33.5,9.53
13.75,33.75,9.53
13.75,34,9.52
13.75,34.25,9.51
13.75,34.5,9.51
13.75,34.75,9.5
13.75,35,9.49
13.75,35.25,9.49
13.75,35.5,9.48
13.75,35.75,9.47
13.75,36,9.47
13.75,36.25,9.46
13.75,36.5,9.46
13.75,36.75,9.45
13.75,37,9.44
13.75,37.25,9.44
13.75,37.5,9.43
13.75,37.75,9.42
13.75,38,9.42
13.75,38.25,9.41
13.75,38.5,9.4
13.75,38.75,9.4
13.75,39,9.39
13.75,39.25,9.39
13.75,39.5,9.38
13.75,39.75,9.37
13.75,40,9.37
13.75,40.25,9.36
13.75,40.5,9.36
13.75,40.75,9.35
13.75,41,9.34
13.75,41.25,9.34
13.75,41.5,9.33
13.75,41.75,9.33
13.75,42,9.32
13.75,42.25,9.32
13.75,42.5,9.31
13.75,42.75,9.3
13.75,43,9.3
13.75,43.25,9.29
13.75,43.5,9.29
13.75,43.75,9.28
13.75,44,9.28
13.75,44.25,9.27
13.75,44.5,9.27
13.75,44.75,9.26
13.75,45,9.26
13.75,45.25,9.25
13.75,45.5,9.25
13.75,45.75,9.24
13.75,46,9.24
13.75,46.25,9.23
13.75,46.5,9.23
13.75,46.75,9.22
13.75,47,9.22
13.75,47.25,9.21
13.75,47.5,9.21
13.75,47.75,9.2
13.75,48,9.2
13.75,48.25,9.19
13.75,48.5,9.19
13.75,48.75,9.18
13.75,49,9.18
13.75,49.25,9.17
13.75,49.5,9.17
